song_id,title,artist,period,primary_genre,human_judgment,human_notes
song_f62b2b6113fad8aa92dfa0b6ad2a8b8f581c0ee3fd8c4781be8a3af5247212dd,Red Red Wine,UB40,1980s,Reggae / Dancehall,,
song_09720b8afffd38569a6352df46e232b20a2ac3eb262649dcd3deb14a06fef4b0,Got To Get It,Sisqo Featuring Make It Hot,1990s,R&B / Soul,,
song_65d961f1cc030daf42f3cc1a7c4d3ea9f9df66fb6d1fbf8655c5f1f2eaa7603f,My Heart Will Go On,Celine Dion,1990s,Pop,,
song_9d842cdc104a5dd044703af98874fc46df717e13ecc4ace038882875f6caede0,Achy Breaky Heart,Billy Ray Cyrus,1990s,Country,,
song_b38b11172a916cc06707f86633944054b2dcf911f1858a7316f5c8f82b69f4ed,I Fell In Love,Rockell,1990s,Electronic / Dance,,
song_b555d7adc406312bc519e83111bf9e3801029c3f84ee56adbb3ffdc03794f183,Livin' La Vida Loca,Ricky Martin,1990s,Pop,,
song_d8524775ea0b49eec78378d984ac3dc3b1cbfbf577b70169d7684611d3903930,Waterfalls,TLC,1990s,R&B / Soul,,
song_d85c143df834e14c54ba7837752803ae6c142f916f0fdb35b89f66766a0986c6,Insane In The Brain,Cypress Hill,1990s,Hip-Hop / Rap,,
song_db6cb0c18cbe8cc635e66c9b72c54190675e442058e6295d3b0646d144eafefe,What It Takes,Aerosmith,1990s,Rock,,
song_f413bb2f755c0d08ca66cbd330d8d0aad2f4b54c4786ea8a890fbabdd4ead78d,Smells Like Teen Spirit,Nirvana,1990s,Alternative / Indie,,
song_04804816c9145c2fc431928b1be17072cff6e54ba8ebb244f2979004992b8cc7,Lollipop,Lil Wayne Featuring Static Major,2000s,Hip-Hop / Rap,,
song_05a86ff01ac556415d3cb8874722e76415ecbc09cc09fd0b3c5b8cbf8c621e63,Turn Off The Light,Nelly Furtado,2000s,Pop,,
song_1f6349d2aae418419d9d25e0bcd3c679692b5c2dc283d7956d6bc5b1705d3ca7,If You're Not The One,Daniel Bedingfield,2000s,Pop,,
song_4d2af74993fa18cf7cd81fd1e65cc180f6489407030a1569670f9c1c27579169,I Don't Want To Be,Gavin DeGraw,2000s,Rock,,
song_6ccb3e49d2962a804c8e24914948ebaa0fc67ee45d64197dea1eef5d3ee1dcb9,Unwritten,Natasha Bedingfield,2000s,Pop,,
song_6cda31159f4d6dcdb0c80f2a8d40cfb6ae13ad3a19e5a32e88ce6b47db330dae,God In Me,"Mary Mary Featuring Kierra ""KiKi"" Sheard",2000s,Gospel / Christian,,
song_71147487997243ed502c93376408a146dc10fbc064a7e95f9917a826dd29a95c,I Can Only Imagine,MercyMe,2000s,Gospel / Christian,,
song_74d66195fec3569a1e3d88dc420206fb1c36bac811ae60670a697f87b3b6440e,Storm,Lenny Kravitz Featuring Jay-Z,2000s,Rock,,
song_d24f6fd8895421cd9acf561e8f8930a76b1cf98a7c08be860ff51ab33f11f6a2,Don't Know Why,Norah Jones,2000s,Jazz / Blues,,
song_1536f56260fa47cc50543a8b42effe5f14f56b430b7680f4ca015d96bb96abf4,Not Afraid,Eminem,2010–2019,Hip-Hop / Rap,,
song_3189c8cc897e59c9677a0d9ffeab56b397eace0c2786b0e6fdd7e5e5e2168863,On My Mind,Ellie Goulding,2010–2019,Pop,,
song_43cbbe25d01436f24fa263dfde7adfd25ac01df38bb9626312dc241b8daa4857,Shake It Off,Taylor Swift,2010–2019,Pop,,
song_44683eee837441e8cd22fc679ce347dff944f316f116b720b5e90a5580462716,Barcelona,Ed Sheeran,2010–2019,Pop,,
song_54fa1a7fe242cd86c6694031c7b71d8124f3dde1b2517e4e3792498a2d2709a9,Dear Future Husband,Meghan Trainor,2010–2019,Pop,,
song_8665a124456b78459e42436a6abf3c1cd6dbf5a06c66ddfbe532cd2370a375f9,Human,Christina Perri,2010–2019,Pop,,
song_924796ac685f2d06b74e6f58caa5d6bb561d9f0444e2180dcd461857eebb3ab6,Am I Wrong,Nico & Vinz,2010–2019,Pop,,
song_aaa0e4a963fc10aa6f920a0aac49efadb98b0565d37028e63fbe65b523fb1575,Lighters,Bad Meets Evil Featuring Bruno Mars,2010–2019,Hip-Hop / Rap,,
song_ee609cb946e2acfbea67800c78b1fd34dc779ede1eeebbfcef2121cc2fcc452b,Karate Chop (Remix),Future Featuring Lil Wayne,2010–2019,Hip-Hop / Rap,,
song_2582bf1b159682a63c32b25e9c45a1908036654ff50eae584eeffe3d2c7603ea,Good 4 U,Olivia Rodrigo,2020–2026,Pop,,
song_733e4b6f3321d3f1f4506afc9ec8b748aa2f3f9a3a0759a41152cfdf8ed4aa37,The Life Of A Showgirl,Taylor Swift Featuring Sabrina Carpenter,2020–2026,Pop,,
song_f5daad636fce6213fbf775c1e0ed2b596ff259fa88b5bea40660fa9ed8dbcaf0,Die With A Smile,Lady Gaga & Bruno Mars,2020–2026,Pop,,
