song_id,title,artist,period,primary_genre,confidence,judgment,review_note,external_source
song_25a3916e8bbaed1b6691eb0288d262bf54af38dad14acbf3f3a479fa605ddc90,Every Home Should Have One,Patti Austin,1980s,R&B / Soul,medium,plausible,R&B/soul is defensible amid jazz-pop crossover.,
song_27ff076994bb3c51dd2a6a72f3efc31beb57895759d62443c1b8585262a46c26,My Forbidden Lover,Chic,1970s,Electronic / Dance,high,plausible,Chic's disco identity supports Dance.,
song_285d1f5dd21560d0d6dbead52fab540dbf06a22e2e16aae33ec1d184d375efd6,Hope Of Deliverance,Paul McCartney,1990s,Pop,medium,plausible,Pop is defensible for this melodic pop-rock recording.,
song_3860649597a0dd95f9d773ffade979d1a4637110c0f4509b8ea03f2d402577f8,Mom And Dad's Waltz,Patti Page,1958–1969,Pop,medium,plausible,Patti Page version can support Pop despite the composition's country roots.,
song_38dfdf65977ee7d915238797021b260fc4f1f9039b23eda7591d85282428b405,I've Got The Next Dance,Deniece Williams,1970s,Electronic / Dance,high,plausible,Disco-specific evidence supports Dance.,
song_3a30a46b40c18554c05ff1566df69f930af682b17bd536c760ecbb120693ed04,Here I Am,Dionne Warwick,1958–1969,R&B / Soul,medium,plausible,Soul-pop boundary is defensible; noisy tags should not imply certainty.,
song_3c6d8ec345fd0ada2ab1e9cda634777f683ccf54e4f9cc1794a345e205765a0a,Hearts On Fire,Randy Meisner,1980s,Rock,high,plausible,Soft rock fits the recording evidence.,
song_434315dff36ac0d63b1960f529b4170a1ece4a8c2da72d3cf2784bf3ebe57683,Silly Little Girl,The Tams,1958–1969,R&B / Soul,high,plausible,Consistent soul/R&B evidence supports the primary.,
song_44969f0503965275ba23116849d1ef5f210a8d7099be29f19e92d8ab2b84912a,Lonely Boy,Andrew Gold,1970s,Pop,high,plausible,Pop/soft-rock crossover makes Pop defensible.,
song_452e14b2210c438dbf299d414495585b754fddd2a5d19cc923c0210eb043c1a1,Baby Can I Hold You,Tracy Chapman,1980s,Folk / Singer-Songwriter,high,plausible,Folk singer-songwriter recording fits the primary.,
song_4a41f413114f22509914524f08d6133193c927133ebe8a52ccaa13bdad2f4fad,Obsessed,Mariah Carey,2000s,R&B / Soul,high,plausible,Contemporary R&B with pop crossover supports this choice.,
song_4a53fdbf92904bc9b89e5ce9838fd9ea2efe1bb795ec32fdfbbbb2f794145ff1,Walk On The Ocean,Toad The Wet Sprocket,1990s,Alternative / Indie,high,plausible,Alternative-rock primary fits the song and supplied tags.,
song_4a8c1131327c79f2111c48f7bc88e0b2281437a515bffe0eb1ba7286337ecbd9,Piggy Bank,50 Cent,2000s,Hip-Hop / Rap,high,plausible,Identifiable rap recording agrees with the evidence.,
song_4cafaa9d724ca9dcdc92b686c812e260d71852e4831a60ba8632b3c9649e03af,The Main Event/Fight,Barbra Streisand,1970s,Pop,high,questionable,Disco specificity may be lost under generic Pop; high confidence is stronger than this boundary warrants.,
song_4d6fbc258d8d2ecfb2399529ea5ef665a33aae49a3900367f0def1e6d1796be0,Gravy Waltz,Steve Allen,1958–1969,Jazz / Blues,medium,plausible,Jazz-waltz identity supports Jazz / Blues.,
song_4d7ce3074116d8d6e93bf45f6fdf89d7d9e70b9b031b491a8ee8ec04e8870e02,The Star-Spangled Banner,Jose Feliciano,1958–1969,Other,low,clearly wrong,PBS describes this exact anthem performance as folk; Other wrongly treats the anthem function as musical style.,https://www.pbs.org/wgbh/americanexperience/features/woodstock-star-spangled-banner/
song_4deb40c75798debada8d2339406665515ca957e73c76cd623c3673e37630112c,Look For A Star,Garry Miles,1958–1969,Pop,medium,plausible,Vocal-pop primary fits the identifiable version.,
song_50a80b66df8a64d43daec36d2e87490357f37ba2383afe27a0787c56baeeeacb,Don't Cry Daddy/Rubberneckin',Elvis Presley,1958–1969,Rock,medium,questionable,Double-sided asset spans country/soul/pop and funk; one Rock primary may reflect artist identity more than both recordings.,
song_565cc4aa8166053ea7ecaf6d4a724b9c3c6f6306936f27f33627bc6e2e089c25,Hide 'Nor Hair,Ray Charles and his Orchestra,1958–1969,R&B / Soul,medium,plausible,Early soul/R&B is a defensible mapping.,
song_577aaab26ddfc5afdca1e528e18c6c267eafe11d6dcfe931b5d0bc6403fd926a,Angel With An Attitude,Rod Wave,2020–2026,Hip-Hop / Rap,medium,plausible,Melodic rap/R&B crossover fits Rap at medium confidence.,
song_57b9c7cc6c62865a499ad6cb677ab1e5d7e85f6b9e152bc106cb2676ee1cad42,Guilty As Sin?,Taylor Swift,2020–2026,Pop,medium,plausible,Pop primary is supported despite alternative/country shading.,
song_5a5cd16abaf07246bb5337c8d24388917029f3347ac3b755d00e4df427018642,Unwind,Ray Stevens,1958–1969,Other,low,questionable,Comedy/novelty tags may reflect the artist rather than this serious recording; Other needs caution.,https://whatwasleftin.wordpress.com/2022/07/21/1968-ray-stevens-mr-businessman/
song_5a6e3df9b5a77432e42288286947e70640574eaca4b77605276b1fbb6b730bb9,Come Home Soon,SHeDAISY,2000s,Country,high,plausible,Contemporary country evidence is consistent.,
song_5ab9e85c96439be567532cdb224fd4e5cb9af7364456359cf7b6189ae5f96bd8,Knockout,Lil Wayne Featuring Nicki Minaj,2010–2019,Hip-Hop / Rap,high,clearly wrong,Contemporary review identifies the recording as power-pop/punk; Rap primary appears to carry over the artist's usual genre.,https://www.rapreviews.com/2010/02/lil-wayne-rebirth/
song_5bd4b63becd44c03666d6ba4d51d3c2a3157e5447845718770fd399050bdf84d,I Can Hear Music,The Beach Boys,1958–1969,Pop,high,plausible,Harmony-led pop-rock permits Pop primary.,
song_5ea23331a69f66f8a9de1858d2f361560bcb15428fa079d645fff0e8389001ab,Prove Me Wrong,David Pack,1980s,Pop,medium,plausible,Adult pop/soft rock is plausible; exact-track certainty remains limited.,
song_61e2b54fa716d3f3cf028f0c521a3d6b3517b3597e85a006ae2009b3afa10691,Cannonball,Lea Michele,2010–2019,Pop,high,plausible,Direct Pop evidence supports the primary.,
song_63dec9d4f9f1ff68755151467c420cc4858207b811f5dec5489f6af6057d799b,Raining In My Heart,Leo Sayer,1970s,Pop,medium,plausible,Pop/soft-rock primary is plausible; dance tags look version-sensitive.,
song_644d5073ab9dbbe412abf9857ae090bae83a77270be7621636a576660a308ce9,Consider Me Gone,Reba,2000s,Country,high,plausible,Contemporary country identity and evidence agree.,
song_69d69ba92ad171a4727cfffc8cbd12a847ca24eac9a157cb86ae67ca811ae68a,Ruby Tuesday,The Rolling Stones,1958–1969,Rock,high,plausible,Rock primary accommodates the softer arrangement.,
song_6a15f97d694c1b6abd729db7af6ccf9ce625327c754e157a430b355a18353a91,Don't Break The Heart That Loves You,Connie Francis,1958–1969,Pop,high,plausible,Traditional vocal-pop ballad fits Pop.,
song_6a9503489b8cca4fee2f68f3602fd49177a22d142e585714344aa45f3fdc5247,Summertime Summertime,Corina,1990s,Electronic / Dance,medium,plausible,"Freestyle/dance identity supports Dance, with moderate certainty.",
song_6d4131063844b48f6eb127049707ed195dccc833b7931d9e3b6bc091330a3f19,Honey Bee,Blake Shelton,2010–2019,Country,high,plausible,Country recording identity and evidence agree.,
song_6e8c93fecc3ed729ff2f010a5adbb32d8f930f58bf12fa56406360d9b160c9e2,Don't Turn The Light Out,Cliff Richard,1970s,Pop,low,questionable,Artist-era fallback supplies little exact-song evidence; retain as questionable rather than certify.,
song_719ef94b434a2462306f355316b7c42c0e4b17c4e721b1eabe466e1d8d7c68cb,"Roots, Rock, Reggae",Bob Marley And The Wailers,1970s,Reggae / Dancehall,high,plausible,Unambiguous roots-reggae identity and tags.,
song_720ed41b88f1354716c81d750fd704074d05c1fadb396207bc2aaf4347b018f6,How Would You Feel (Paean),Ed Sheeran,2010–2019,Pop,high,plausible,Pop ballad and singer-songwriter crossover are compatible.,
song_73a382aa9d9e8a2a9178205ee0368384c15d794db13e1a7398b9c8e75be9c7c4,F150-50,Morgan Wallen,2020–2026,Country,high,plausible,Country recording evidence supports this recent track.,
song_76fd734cab89d10bec203fbc06e2fdce4cec46245f3e1f95c05422658586d574,"Try Some, Buy Some",Ronnie Spector,1970s,Rock,medium,plausible,Pop-rock production supports the broad Rock choice.,
song_79a807b3b6a6696c9735f66a5df8bf97caa788e06bf43851e2e736b7cf8b62a7,Drunk On You,Luke Bryan,2010–2019,Country,high,plausible,Country-pop crossover remains defensibly Country.,
song_7aa9c1f17e62bc0297a8a82f312ef64937adbf8421dc1dd13e8361b1a20cda74,Mr. Right Now,21 Savage & Metro Boomin Featuring Drake,2020–2026,Hip-Hop / Rap,high,plausible,Recognizable rap collaboration supports Rap.,
song_801fe7a6b20632d38f61c98d4116deb5576902a1e753c09a1a2fca84e584825d,I'm Tryin',Trace Adkins,2000s,Country,high,plausible,Country recording evidence is consistent.,
song_82237df00f7e23074eb89c6647b9a1e8d240bb1f7e017808f627ba563533d896,Over My Head,Toni Basil,1980s,Pop,low,questionable,Unfamiliar exact recording; artist-era dance-pop association alone is insufficient to confirm.,
song_823302b45221c023a777377d1285faee276f68191c7d1bfbfd6acafb2ae121b7,Missing You,Dan Fogelberg,1980s,Rock,high,plausible,Soft-rock recording evidence supports Rock.,
song_84a7be94f6ccc916e533c2bc0323a4f13bd463b11fa1e7de3319c96f6bb9ce4f,Blue Ribbon Baby,Tommy Sands And The Raiders,1958–1969,Rock,medium,plausible,Rock-and-roll identity is compatible with Rock; exact-version uncertainty acknowledged.,
song_86bc346a1e863253ffdec387b46181b17dbfa8f5d86776d923aab4271c3f72c5,3D,Jung Kook & Jack Harlow,2020–2026,Pop,high,plausible,"Pop versus K-Pop is defensible on style, but inconsistent scene/style emphasis deserves tracking.",
song_889d8e9350c1341596292cc39b671f9b63d9dbc0c835c1c707e325361ee15f02,Young Emotions,Ricky Nelson,1958–1969,Rock,medium,questionable,A gentle pop-ballad identity makes artist/parent Rock tags an uncertain primary basis.,
song_890bd83908b730e04db1598d9671182a89aec16563359308344f6dd3fe061370,Mashed Potato Time,Dee Dee Sharp,1958–1969,R&B / Soul,high,plausible,Early R&B dance-pop supports R&B / Soul.,
song_89c2fa2e32f048e2d9fc539b86ce3ab3399666e12bd6bd14a6b1a69dfcd56fce,(New In) The Ways Of Love,Tommy Edwards,1958–1969,Pop,low,questionable,Sparse artist-based inference for an unfamiliar recording; exact style remains unverified.,
song_8a3372c5434f64b99455c610c048b0bb9e27e299232996bdf5012621f7efa077,The Sound Of Silence,Disturbed,2010–2019,Metal,medium,questionable,Metal-band and tag identity may override this orchestral/acoustic ballad's actual arrangement.,https://entertainment.inquirer.net/199369/single-review-the-sound-of-silence-by-disturbed
song_8a647f1b0845b63f4aac79d9669b4c7ee98fd128fe20b051d3d600ff7c6be75f,"Woman, Woman",The Union Gap Featuring Gary Puckett,1958–1969,Pop,medium,plausible,Vocal pop/soft rock supports Pop.,
song_8d5e7f7027891a4ec91ce126679a9e42e5b6224bef6794f7b7267575cc98cb89,"Please, Daddy",John Denver,1970s,Country,medium,plausible,Country/folk seasonal song supports Country without using seasonal subject alone.,
song_8d89f7985d294038b9352bdacc802a35bf0f094be50656c784359879ded6c486,A Love Song,Kenny Rogers,1980s,Country,high,plausible,Country-pop ballad permits Country despite adult-contemporary crossover.,
song_8dc915eed4c70e3c837e01cd5e20204612237664f511b3bef8fbde1bbd51f7d9,Wiggle It,2 In A Room,1990s,Electronic / Dance,medium,plausible,Hip-house is directly compatible with Dance.,
song_8de2fea046decc9057a1fed5a32c34cb210c4fae8abc340e6a39208217000f25,Night Train,James Brown And The Famous Flames,1958–1969,Jazz / Blues,high,questionable,Reason acknowledges an R&B adaptation yet selects Jazz; version-specific R&B/funk character makes high confidence questionable.,https://www.allmusic.com/song/night-train-mt0002500602
song_8dec13a6d63e8c6670e7add6a0f28269b26d77366fa092ddd02fe72f9c8897d3,I Can't Say Goodbye,Bobby Vee,1958–1969,Pop,medium,plausible,Early pop with rock-and-roll crossover supports Pop.,
song_8f12d19c797f4ed4266da7f3181c232f2edc4ba2604a050d12148a4b19a3f5f4,The Touch Of You,Brenda & The Tabulations,1970s,R&B / Soul,high,plausible,Philly-soul evidence is consistent.,
song_8f80d7bd13dd8191f831993df507cebd7706c98b9eb0e106830de20298d4a453,Xanadu,Olivia Newton-John/Electric Light Orchestra,1980s,Pop,medium,plausible,Disco/pop crossover permits Pop; secondary Rock should remain provisional.,
song_9079a8b283539a3a19190dbe04532facb8f6d9a9209ac781aef7d0f3b793f7c8,Mother Nature's Wine,Sugarloaf,1970s,Rock,high,plausible,Blues/progressive-rock recording evidence supports Rock.,
song_90b08b846fe50af8b6ed1f19dba071f7bcb8c019bdf28b2a1f34d38833705c18,My Guy,Petula Clark,1970s,Pop,medium,questionable,Potential same-title/version uncertainty is not resolved by one generic Pop tag.,
song_90f3a36d61fad81d3d728f7f152ec5f9d858d7fd80df79145016b3abe9cd487d,Tell Me That I'm Wrong,"Blood, Sweat & Tears",1970s,Rock,medium,plausible,Jazz-rock crossover supports Rock.,
song_91f4865294811f1fb778ab2e4208677872a4c317362624adc6edcb9ca6c61ca3,If I Only Knew,Ozark Mountain Daredevils,1970s,Rock,high,plausible,Country/southern rock is defensibly Rock.,
song_9204b663abe58ff2eb7fecfdf13519a15e136c04080a8bdb008408ff5865a97b,Daydreamin',Tatyana Ali,1990s,R&B / Soul,high,plausible,Pop-R&B crossover supports R&B.,
song_93ddd58c509dbd611b1e687d0162c369261e3824bd429fb9760215e625c62ad6,The Impossible Happened,Little Peggy March,1958–1969,Pop,low,questionable,Sparse artist-based inference does not independently establish this recording's style.,
song_95132f6d6bf1cdaada7ed52163a7f26d3a8711a708b39051782026425816020b,Summer Wind,Frank Sinatra,1958–1969,Jazz / Blues,high,questionable,Traditional-pop versus vocal-jazz boundary is debatable; high confidence is not calibrated evidence.,
song_96c7e6ab21713925a3d50a7d2df11f7308e9de31faa45c6656cb45f4372b7775,"It's For You (From ""The Meteor Man"")",Shanice,1990s,R&B / Soul,medium,plausible,Contemporary R&B/pop is a plausible broad fit.,
song_9812b3b3202e168eead92c5676f1f932eecf075df4c0901e55d5a1f6150d520a,Teenage Sonata,Sam Cooke,1958–1969,R&B / Soul,high,plausible,Soul/pop-ballad crossover permits R&B / Soul.,
song_9ab90b5204c69b8b2bebd83c5735dfc273bb2b9c969f4e31b505e427d045ce5f,Skin Trade,Duran Duran,1980s,Pop,high,plausible,Synth-pop/new-wave identity supports Pop.,
song_9b447a7facb00ad51ba0e6c755f53601bb98e16d6952bc3feba985c795213ef5,In The Midnight Hour,Samantha Sang,1970s,Pop,low,questionable,Exact-version style is uncertain; artist context and title recognition are insufficient confirmation.,
song_a03e7fd0d0c070cef1b6ed3f616cde19567fd22661319d1b56145e82b4c6cde9,Rock It,"Lipps, Inc.",1980s,Electronic / Dance,medium,plausible,Disco/dance-pop reading is plausible despite generic Pop evidence.,
song_a0491c20a5b5e2b0c5ec74d09ffc9adc138c58216f0ded36aa009bbbe573f125,My Sacrifice,Creed,2000s,Rock,high,plausible,Post-grunge/mainstream-rock boundary supports Rock.,
song_a20082f4f5d5b7605c814b2eafe46b764d12795848be58008ce7a0dd151e33dc,4 Your Eyez Only,J. Cole,2010–2019,Hip-Hop / Rap,high,plausible,Identifiable narrative rap recording fits Rap.,
song_a34e71c620022369eec28060ff73dc1c97b82c7b207b2f7eec49226639719ee0,Rudolph The Red Nosed Reindeer,David Seville And The Chipmunks,1958–1969,Pop,medium,questionable,Novelty Christmas material is assigned Pop while other novelty material receives Other; boundary needs caution.,
song_a5c37e9ebf0776f3c0387039d4cf07932148a06bd29f543926ca9c6ef2631bd6,On And Off (Part 1),Anacostia,1970s,R&B / Soul,low,questionable,Unfamiliar recording with only group-level soul inference; do not certify exact-song accuracy.,
song_a5cf67af9eeb4ce906bafd45f2cb1158d459d7410d5c5b7e04c07515fc4375fa,I Can't Take You Anywhere,Scotty Emerick With Toby Keith,2000s,Country,high,plausible,Recognizable country collaboration fits Country.,
song_a5eea7fbe6a74b1f83f642b8a9bc5981befab3e2eb4b3871bae96d27d033c320,Black Ice (Sky High),Goodie Mob Featuring Outkast,1990s,Hip-Hop / Rap,high,plausible,Southern hip-hop identity supports Rap.,
song_a87477260e81a9be76b9db1da8f3ff659aaafe9cfeda470a45436414736f9773,With The Wind And The Rain In Your Hair,Pat Boone,1958–1969,Pop,low,questionable,Likely vocal pop but exact recording is unverified; low-confidence artist-context inference remains questionable.,
song_a96388378c90595a6bb8aea788c34ae4f2f58c9cff4c687a11d945f35cdf8baf,Boom Boom Boom,The Outhere Brothers,1990s,Electronic / Dance,high,plausible,Eurodance/house recording evidence supports Dance.,
song_ac3b791a9c26c22b681a652c34fed63abfd83b51ca83c9d4a6899353aee065cb,Willing And Able,Noah Kahan,2020–2026,Folk / Singer-Songwriter,low,questionable,Recent exact-song identity is explicitly weak; artist-style inference alone cannot confirm it.,
song_ac5379badcc99bd6f60922b5311eb3b7478a65634e3bf767b739cf8051546000,Over You,Roxy Music,1980s,Rock,high,plausible,Art/pop-rock recording supports Rock.,
song_ae58b3b792447bc47cf65035a9379ee21fcb724e137ea44d88576241a1275260,Jennifer Tomkins,Street People,1970s,Pop,medium,plausible,Bubblegum-pop context supports Pop.,
song_ae6df658640328431990dc870952a8bd79d6952671c30aad8294c7fc91096afb,Last Last,Burna Boy,2020–2026,Afrobeats / African Pop,high,plausible,Afrobeats song identity and recording evidence agree.,
song_ae895c161717f74fe7c8fe0b19a28984c798af03fc115491bd1e23d006e026f5,What Did Daddy Do,Shep And The Limelites,1958–1969,R&B / Soul,medium,plausible,Doo-wop/R&B context makes the broad primary plausible.,
song_aed2a9ab2992ca5606d6c1e8cec86e3aaa0023ea0bdde80d7e914d4fbbd8d74f,On BS,Drake & 21 Savage,2020–2026,Hip-Hop / Rap,high,plausible,Rap collaboration and recording evidence agree.,
song_af5c745cfc9e28e5acf6f960b24aee1620d5126402a6e795900e24c120de3143,What Do I Know?,Ed Sheeran,2010–2019,Pop,medium,plausible,Pop with acoustic/singer-songwriter crossover is defensible.,
song_aff5b1f7f06f1539f87338690e420da4fde3bc22b09b7ee66fdbd1762ce41578,Black Night,Deep Purple,1970s,Rock,high,plausible,Hard-rock recording supports Rock.,
song_b14bb3cb00d51dfa14cfdc5dd857a2cc54391d27a03401766fc2e2eee8090df4,Cry Softly Lonely One,Roy Orbison,1958–1969,Pop,medium,plausible,Pop-ballad evidence supports Pop over artist-level country.,
song_b254f3e8ac7857c98234523310c07bc2197285c0f8f832a67f5eb08416c30a79,"Names, Tags, Numbers & Labels",The Association,1970s,Pop,low,questionable,Exact-track recognition is weak; artist-level soft-pop expectation is insufficient confirmation.,
song_b412504a0475b2f3056f663b1aada5e2717eda8afef7adcfd78370609990c7dd,Diamonds Dancing,Drake & Future,2010–2019,Hip-Hop / Rap,high,plausible,Hip-hop/trap evidence supports Rap.,
song_b50786a3889b690bfef3fb503446362fb0f115a30c2c2767d44a8daef2b57cc4,Suavecito,Malo,1970s,Latin,high,plausible,"Latin-rock style evidence supports Latin, not merely language or nationality.",
song_b54a47fde75739025b0a7fc159b944bc5acf2bf1c826230e37600bead0c1df8c,The Goonies `R' Good Enough,Cyndi Lauper,1980s,Pop,high,plausible,Mainstream pop-rock permits Pop primary.,
song_b75b10eb2311c8c93d2ff1f64be1dd84eeacc9eef693edeea7e96deac497133c,Mother I Sober,Kendrick Lamar Featuring Beth Gibbons,2020–2026,Hip-Hop / Rap,high,plausible,Rap-led recording with sparse soul/spoken texture fits Rap.,
song_ba9cedaabe2e04c751fafb43c998e438ef70cb8d5cb055c1e06f33be35396ecf,Honky Tonk '65,Lonnie Mack,1958–1969,Jazz / Blues,medium,questionable,Instrumental blues/R&B/rock boundary is unresolved; Jazz / Blues may be defensible but is not clearly established.,
song_bd1a6994585b70998d197477abe8c149e4af52d34a2863998bbf82ebcd12a488,Special Occasion,Smokey Robinson & The Miracles,1958–1969,R&B / Soul,high,plausible,Motown/soul recording evidence is consistent.,
song_bdd17b451808619ad9a39d6048a964fa9ab3413d1604d9a199eea674de7abc39,Fast Cars And Freedom,Rascal Flatts,2000s,Country,high,plausible,Country-pop recording supports Country.,
song_bf71466775c0106b1791a66fc6bb396488e6ff0a4aa2a33212f0caf4c52c1f2c,This Time,Bryan Adams,1980s,Rock,high,plausible,Mainstream pop-rock evidence supports Rock.,
song_c07f33efa276e691d2f91c88dcc8389e2d37790da594e3d35e8508efede40459,With You All The Way,New Edition,1980s,R&B / Soul,medium,plausible,R&B ballad context supports R&B despite generic Pop tag.,
song_c3922798c2cb16d2f13420d16f14a89af47d86fc8a941799b5f923ad5d4a14ef,Why Not Me,Fred Knoblock,1980s,Pop,low,questionable,Country/adult-pop/singer-songwriter boundary needs song-level evidence; low confidence is appropriate.,
song_c53c7c6a18b35e3f80f672dc2ca265a7c8880ea2d1bc290c1f077c77d5156183,Standing Next To You,Jung Kook,2020–2026,K-Pop,high,plausible,K-Pop scene and supplied recording tags make primary plausible; comparison with 3D exposes boundary inconsistency.,
song_c6e0a012fec52e016628564522ee14ad0188cfa5e4307caa6616744f9d71f278,Love Nwantiti (Ah Ah Ah),CKay,2020–2026,Afrobeats / African Pop,high,plausible,Afropop/R&B crossover supports African Pop.,
song_c7b41caeb188d604fbb58b413aca136d1ba4319fd37d3d1df9a093a68b90cb09,Cutie Pie,One Way,1980s,R&B / Soul,high,plausible,Funk/R&B primary is defensible despite disco tag.,
song_c7f7436fa0b11b4fc302915f1d04563cc3e601a476e229151c748f8d277878de,"Promise Me, Love",Andy Williams,1958–1969,Pop,low,questionable,Artist-era vocal-pop inference remains unverified for this exact recording.,
song_c87f32feb10a844cbfc3b70c2a9a287f30dd550acb2cb3cec0566f48e1b0c100,Dizzy,Tommy Roe,1958–1969,Pop,high,plausible,Bubblegum pop fits Pop.,
song_c8f2c1a63d2eff142ed78ed40e3bfaf635b54b41265c6d58bdbbf470b74b7bf9,I'm Not Feeling You,Yvette Michele,1990s,R&B / Soul,medium,plausible,Contemporary R&B identity supports R&B at medium confidence.,
song_ccb06d331e4bca6b5373aa51285dfdc7499fa74eb9c34d5c63be7084bad66375,Fight Song,Rachel Platten,2010–2019,Pop,high,plausible,Mainstream pop recording and evidence agree.,
song_cd2768ded5563aeb08cf9fc625d7b4fc90bfac9d325e014fc24d37260ef2a58d,Never Let You Go,Third Eye Blind,2000s,Alternative / Indie,high,plausible,Alternative-rock identity supports Alternative / Indie.,
song_cd3b6e9df03971efb2f6405a182ac19c95f08d2ef0d4e612c33b5c999a81b310,Tell Me It's Real,K-Ci & JoJo,1990s,R&B / Soul,high,plausible,R&B ballad supports R&B; remix-oriented Dance secondaries need caution.,
song_cf8de769b408ff018607a1d8a2ed0a150e77c2d6fe37c7737400452037ed3bcb,Banking On Me,Gunna,2020–2026,Hip-Hop / Rap,high,plausible,Melodic trap recording fits Rap.,
song_d1a5d41031c5f5e6eeee31b709240a579e591e35223c1326d6c47124301829be,Die For You,Joji,2020–2026,Alternative / Indie,high,questionable,"Alternative pop/R&B is split among Indie, Pop and R&B; a generic alternative tag alone does not settle the primary.",
song_d37c7206cd5021f8b6f4ff082a3f6ddeb72058d63db2c03fd967efa237cb4dd9,It's My Party,Dave Stewart and Barbara Gaskin,1980s,Pop,medium,plausible,Synth-pop cover supports Pop.,
song_d4914e6bf2df6a83e686608bc615691b81f77e1005998a7442982dbb0f4a506d,Three Little Pigs,Green Jelly,1990s,Metal,high,plausible,Comic alternative-metal recording supports Metal despite novelty subject.,
