song_id,title,artist,old_candidates,primary_reason,flags,strong_categories,new_disposition,new_primary
song_24164efd3f2d22778eb4eab6353b9b9ed123b05ad83f45ca5640b7a222cf442c,Do That To Me One More Time,Captain & Tennille,"[""Electronic / Dance"", ""Pop"", ""Rock""]",weak_or_conflicting_evidence,"[""compatible_tags_within_category"", ""isolated_low_support_category"", ""pop_with_specific_genre"", ""electronic_crossover""]","[""Pop""]",primary,Pop
song_24efbab109321c526d44623d85350b55b66695d5c7d7baadbe79d554aba62c02,I Am A Rock,Simon & Garfunkel,"[""Folk / Singer-Songwriter"", ""Pop"", ""Rock""]",cross_genre_strong_evidence,"[""compatible_tags_within_category"", ""pop_with_specific_genre"", ""multiple_strong_candidates"", ""competing_strong_categories""]","[""Pop"", ""Rock"", ""Folk / Singer-Songwriter""]",ambiguous,
song_2582bf1b159682a63c32b25e9c45a1908036654ff50eae584eeffe3d2c7603ea,Good 4 U,Olivia Rodrigo,"[""Alternative / Indie"", ""Pop"", ""Rock""]",weak_or_conflicting_evidence,"[""compatible_tags_within_category"", ""isolated_low_support_category"", ""pop_with_specific_genre"", ""rock_alternative""]","[""Pop""]",primary,Pop
song_281bf843e63cfc26de275096d493c66105a4aa81844dc618ba901b09393cbe8f,Redbone,Childish Gambino,"[""Electronic / Dance"", ""Hip-Hop / Rap""]",weak_or_conflicting_evidence,"[""compatible_tags_within_category"", ""isolated_low_support_category"", ""electronic_crossover""]",[],insufficient,
song_28b4426f51f1f2cc6730922e3c34e8e95143dbe74e1769867c3272ed2c5aa4b0,Beautiful,Gordon Lightfoot,"[""Folk / Singer-Songwriter"", ""Rock""]",cross_genre_strong_evidence,"[""compatible_tags_within_category"", ""multiple_strong_candidates"", ""competing_strong_categories""]","[""Rock"", ""Folk / Singer-Songwriter""]",ambiguous,
song_29f66b67b267b23979aee55f752c6a4cf5079b6f2a0a44701cc34b619a2a7142,IMY2,Drake Featuring Kid Cudi,"[""Pop"", ""R&B / Soul""]",weak_or_conflicting_evidence,"[""isolated_low_support_category"", ""pop_with_specific_genre""]",[],insufficient,
song_2bda53214f9966fed82b2cfd364d0f25aea14669dd309b4769d644cf34984590,Wasted Days And Wasted Nights,Freddy Fender,"[""Country"", ""Latin"", ""Pop""]",weak_or_conflicting_evidence,"[""compatible_tags_within_category"", ""isolated_low_support_category"", ""pop_with_specific_genre"", ""latin_crossover""]","[""Country""]",primary,Country
song_2d1c4e54ff3b4fea69b44bc5076c5c2e707dc6f2834e4bef86e57b071425eda2,Can't Help Falling In Love,Elvis Presley With The Jordanaires,"[""Country"", ""Jazz / Blues"", ""Pop"", ""Rock""]",weak_or_conflicting_evidence,"[""compatible_tags_within_category"", ""isolated_low_support_category"", ""pop_with_specific_genre"", ""artist_context_adds_other_categories""]","[""Pop"", ""Rock""]",primary,Rock
song_2ed2aa20387869c523a11fcf2e952b641ae342c440e04c132e5a4ae001586f68,Strawberry Fields Forever,The Beatles,"[""Alternative / Indie"", ""Folk / Singer-Songwriter"", ""Pop"", ""Rock""]",weak_or_conflicting_evidence,"[""compatible_tags_within_category"", ""isolated_low_support_category"", ""pop_with_specific_genre"", ""rock_alternative""]","[""Rock""]",primary,Rock
song_2f6252b57051cdd28b2f54077bf6049aaafa0c5b82d349ada1bf3e33ee54bb1d,Doo Wop (That Thing),Lauryn Hill,"[""Hip-Hop / Rap"", ""R&B / Soul""]",cross_genre_strong_evidence,"[""compatible_tags_within_category"", ""rap_soul"", ""multiple_strong_candidates"", ""competing_strong_categories""]","[""Hip-Hop / Rap"", ""R&B / Soul""]",ambiguous,
song_3189c8cc897e59c9677a0d9ffeab56b397eace0c2786b0e6fdd7e5e5e2168863,On My Mind,Ellie Goulding,"[""Electronic / Dance"", ""Pop"", ""R&B / Soul""]",weak_or_conflicting_evidence,"[""compatible_tags_within_category"", ""isolated_low_support_category"", ""pop_with_specific_genre"", ""electronic_crossover""]","[""Pop""]",primary,Pop
song_318e21fe01aacfa42c555181378f929557a647f117d365385416e82be36f0e83,God's Country,Blake Shelton,"[""Country"", ""Pop"", ""Rock""]",weak_or_conflicting_evidence,"[""compatible_tags_within_category"", ""isolated_low_support_category"", ""pop_with_specific_genre""]",[],insufficient,
song_3244facf0d34b16819c9be47f9b47c8eb84422b958e51e082bdd7b3b95cd475e,Use Somebody,Kings Of Leon,"[""Alternative / Indie"", ""Pop"", ""Rock""]",cross_genre_strong_evidence,"[""compatible_tags_within_category"", ""pop_with_specific_genre"", ""rock_alternative"", ""multiple_strong_candidates"", ""competing_strong_categories""]","[""Pop"", ""Rock"", ""Alternative / Indie""]",ambiguous,
song_37a4d0085f53ce98da3e9da4fd8efabcd01ec5858244c84d6a9a6e65d9571e36,Shame On The Moon,Bob Seger & The Silver Bullet Band,"[""Pop"", ""Rock""]",weak_or_conflicting_evidence,"[""compatible_tags_within_category"", ""isolated_low_support_category"", ""pop_with_specific_genre""]","[""Rock""]",primary,Rock
song_37f9525d177a36c4812035064592b279f2fc32067fbfd71f404598be3ba7dcce,Tit For Tat,Tate McRae,"[""Electronic / Dance"", ""Hip-Hop / Rap"", ""Pop"", ""R&B / Soul""]",weak_or_conflicting_evidence,"[""compatible_tags_within_category"", ""isolated_low_support_category"", ""pop_with_specific_genre"", ""rap_soul"", ""electronic_crossover""]",[],insufficient,
song_38d0d5e2405fe078b549574ae439493921f67afb2d9feecd05fb20b169cf6d21,Fooling Yourself (The Angry Young Man),Styx,"[""Pop"", ""Rock""]",cross_genre_strong_evidence,"[""compatible_tags_within_category"", ""pop_with_specific_genre"", ""multiple_strong_candidates""]","[""Pop"", ""Rock""]",primary,Rock
song_39375ca8645940f567abf4345620082624c58e91c34775b6c23ffb31694a8c68,My Mistake (Was To Love You),Diana Ross & Marvin Gaye,"[""Electronic / Dance"", ""Jazz / Blues"", ""R&B / Soul""]",weak_or_conflicting_evidence,"[""compatible_tags_within_category"", ""isolated_low_support_category"", ""electronic_crossover""]","[""R&B / Soul""]",primary,R&B / Soul
song_3d3cefb9c6aa19ee0152805743b64569a0f4480e16596ecf31e018332bc6aeba,Geronimo,Sheppard,"[""Alternative / Indie"", ""Pop"", ""Rock""]",weak_or_conflicting_evidence,"[""compatible_tags_within_category"", ""pop_with_specific_genre"", ""rock_alternative""]",[],insufficient,
song_3d3d6dbe6afb23cfdf8bdb56ae16f1238644091c6091cfea602a92f3ec0a978e,Stayin' Alive,Bee Gees,"[""Electronic / Dance"", ""Pop"", ""R&B / Soul"", ""Rock""]",cross_genre_strong_evidence,"[""compatible_tags_within_category"", ""pop_with_specific_genre"", ""electronic_crossover"", ""multiple_strong_candidates""]","[""Pop"", ""Rock"", ""Electronic / Dance""]",primary,Electronic / Dance
song_3d40f536d7d35c218d6face06c7881543f51229c0fb851a19ea5a49f735a2d16,Lost In You,Garth Brooks as Chris Gaines,"[""Country"", ""Pop"", ""Rock""]",weak_or_conflicting_evidence,"[""pop_with_specific_genre"", ""artist_context_adds_other_categories""]",[],insufficient,
song_3eb736395cef262f74b3ad8d05022ba5e4433e4f2bec3cf292bbd0b625834420,Right On The Tip Of My Tongue,Brenda & The Tabulations,"[""Pop"", ""R&B / Soul""]",weak_or_conflicting_evidence,"[""compatible_tags_within_category"", ""isolated_low_support_category"", ""pop_with_specific_genre""]","[""R&B / Soul""]",primary,R&B / Soul
song_3f03586f6e4f59f31fb4a4e5f6fb42e49d0ef36328eefef2164e31fd1299a1d0,We Are Family,Sister Sledge,"[""Electronic / Dance"", ""Pop"", ""R&B / Soul""]",weak_or_conflicting_evidence,"[""compatible_tags_within_category"", ""isolated_low_support_category"", ""pop_with_specific_genre"", ""electronic_crossover""]","[""Electronic / Dance""]",primary,Electronic / Dance
song_40d619f96504faf89aa2f8f5c8bf78a6e6edc07db041ec3bedf1b2d50ca4e8c9,Blinding Lights,The Weeknd,"[""Electronic / Dance"", ""Jazz / Blues"", ""Pop"", ""R&B / Soul"", ""Rock""]",cross_genre_strong_evidence,"[""compatible_tags_within_category"", ""isolated_low_support_category"", ""pop_with_specific_genre"", ""electronic_crossover"", ""multiple_strong_candidates"", ""competing_strong_categories""]","[""Pop"", ""Electronic / Dance""]",ambiguous,
song_412700eff79f4bce53d2a754cd55ff435a6ec5a367d17142e1249cdf114adc71,Tell Me,Bobby Valentino,"[""Hip-Hop / Rap"", ""R&B / Soul""]",weak_or_conflicting_evidence,"[""compatible_tags_within_category"", ""isolated_low_support_category"", ""rap_soul""]","[""R&B / Soul""]",primary,R&B / Soul
song_43cbbe25d01436f24fa263dfde7adfd25ac01df38bb9626312dc241b8daa4857,Shake It Off,Taylor Swift,"[""Alternative / Indie"", ""Country"", ""Pop"", ""Rock""]",weak_or_conflicting_evidence,"[""compatible_tags_within_category"", ""isolated_low_support_category"", ""pop_with_specific_genre"", ""rock_alternative""]","[""Pop""]",primary,Pop
song_445ce019f72fefe5e322a604f3bf07c182e78c35bce0cb59086d3947a50d1916,Let Me In,The Sensations,"[""Pop"", ""R&B / Soul"", ""Rock""]",weak_or_conflicting_evidence,"[""compatible_tags_within_category"", ""isolated_low_support_category"", ""pop_with_specific_genre""]",[],insufficient,
song_44683eee837441e8cd22fc679ce347dff944f316f116b720b5e90a5580462716,Barcelona,Ed Sheeran,"[""Alternative / Indie"", ""Pop"", ""Rock""]",weak_or_conflicting_evidence,"[""compatible_tags_within_category"", ""isolated_low_support_category"", ""pop_with_specific_genre"", ""rock_alternative"", ""artist_context_adds_other_categories""]","[""Pop""]",primary,Pop
song_45daab3f8a874dbbadc9a76ad99d877bec99477a47bb9de6e7611a99761856e6,Reflektor,Arcade Fire,"[""Alternative / Indie"", ""Electronic / Dance"", ""Pop"", ""Rock""]",cross_genre_strong_evidence,"[""compatible_tags_within_category"", ""isolated_low_support_category"", ""pop_with_specific_genre"", ""rock_alternative"", ""electronic_crossover"", ""multiple_strong_candidates"", ""competing_strong_categories""]","[""Rock"", ""Alternative / Indie""]",ambiguous,
song_4cb54b97100b0ade394443db61aa06f42d537f01c415850565bbfe9703033fa1,But You're Mine,Sonny & Cher,"[""Folk / Singer-Songwriter"", ""Pop"", ""Rock""]",weak_or_conflicting_evidence,"[""compatible_tags_within_category"", ""isolated_low_support_category"", ""pop_with_specific_genre""]","[""Pop""]",primary,Pop
song_4d2af74993fa18cf7cd81fd1e65cc180f6489407030a1569670f9c1c27579169,I Don't Want To Be,Gavin DeGraw,"[""Electronic / Dance"", ""Folk / Singer-Songwriter"", ""Hip-Hop / Rap"", ""Pop"", ""Rock""]",cross_genre_strong_evidence,"[""compatible_tags_within_category"", ""isolated_low_support_category"", ""pop_with_specific_genre"", ""electronic_crossover"", ""multiple_strong_candidates""]","[""Pop"", ""Rock""]",primary,Rock
song_54fa1a7fe242cd86c6694031c7b71d8124f3dde1b2517e4e3792498a2d2709a9,Dear Future Husband,Meghan Trainor,"[""Hip-Hop / Rap"", ""Pop"", ""R&B / Soul"", ""Reggae / Dancehall""]",cross_genre_strong_evidence,"[""compatible_tags_within_category"", ""isolated_low_support_category"", ""pop_with_specific_genre"", ""rap_soul"", ""multiple_strong_candidates""]","[""Pop"", ""R&B / Soul""]",primary,Pop
song_586d59235d4970579635ebee081355a688402152fb5cbfd7a987ce1e2e28258a,Victory,Kool & The Gang,"[""Electronic / Dance"", ""Pop"", ""R&B / Soul""]",cross_genre_strong_evidence,"[""compatible_tags_within_category"", ""pop_with_specific_genre"", ""electronic_crossover"", ""multiple_strong_candidates"", ""competing_strong_categories""]","[""Pop"", ""R&B / Soul"", ""Electronic / Dance""]",ambiguous,
song_5aca356d8030a06af559386fa2f10a593d3d0bcf3b14327a50db02d67cfca9a5,Let's Get Down,Bow Wow Featuring Baby,"[""Hip-Hop / Rap"", ""Pop"", ""Rock""]",weak_or_conflicting_evidence,"[""isolated_low_support_category"", ""pop_with_specific_genre"", ""artist_context_adds_other_categories""]",[],insufficient,
song_5ad09d487797f0b25f25cdc057d4daa9cb0603c8b37b8df55625112d6156b849,(Where Do I Begin) Love Story,Andy Williams,"[""Jazz / Blues"", ""Pop"", ""Rock""]",weak_or_conflicting_evidence,"[""isolated_low_support_category"", ""pop_with_specific_genre"", ""artist_context_adds_other_categories""]","[""Pop""]",primary,Pop
song_6058e3713e40bd8afc987799134073e143420ae73245243934485c0ff41fb0d2,Gold Digger,Kanye West Featuring Jamie Foxx,"[""Electronic / Dance"", ""Hip-Hop / Rap""]",weak_or_conflicting_evidence,"[""isolated_low_support_category"", ""electronic_crossover"", ""artist_context_adds_other_categories""]",[],insufficient,
song_6063e3caaf6f18469a7a32f76f64fd10bc58b26e3b16a50159463c8e00ed62dc,I Wanna Dance With Somebody (Who Loves Me),Whitney Houston,"[""Electronic / Dance"", ""Pop"", ""R&B / Soul"", ""Rock""]",cross_genre_strong_evidence,"[""compatible_tags_within_category"", ""isolated_low_support_category"", ""pop_with_specific_genre"", ""electronic_crossover"", ""multiple_strong_candidates""]","[""Pop"", ""R&B / Soul""]",primary,Pop
song_614445775beb4153392bf025b5213dffa774d1c6fc3a0b1b3c87fa4a631e514a,Give Me The Keys (And I'll Drive You Crazy),Huey Lewis & The News,"[""Pop"", ""Rock""]",cross_genre_strong_evidence,"[""compatible_tags_within_category"", ""pop_with_specific_genre"", ""multiple_strong_candidates"", ""competing_strong_categories""]","[""Pop"", ""Rock""]",ambiguous,
song_63e9f093b529ca7dc0ea22959a6c2ea68205186ed2e11a507c43fd4b6f41f7cd,I Feel For You,Chaka Khan,"[""Electronic / Dance"", ""Pop"", ""R&B / Soul""]",weak_or_conflicting_evidence,"[""compatible_tags_within_category"", ""isolated_low_support_category"", ""pop_with_specific_genre"", ""electronic_crossover""]","[""Pop""]",primary,Pop
song_65d961f1cc030daf42f3cc1a7c4d3ea9f9df66fb6d1fbf8655c5f1f2eaa7603f,My Heart Will Go On,Celine Dion,"[""Electronic / Dance"", ""Folk / Singer-Songwriter"", ""Pop"", ""Reggae / Dancehall"", ""Rock""]",cross_genre_strong_evidence,"[""compatible_tags_within_category"", ""isolated_low_support_category"", ""pop_with_specific_genre"", ""electronic_crossover"", ""multiple_strong_candidates""]","[""Pop"", ""Rock""]",primary,Pop
song_668e1c837e70335057966ef9022aa46903d6bff58e6d73e7b6f7915fc63068ea,I Say A Little Prayer,Dionne Warwick,"[""Pop"", ""R&B / Soul""]",weak_or_conflicting_evidence,"[""compatible_tags_within_category"", ""pop_with_specific_genre""]","[""R&B / Soul""]",primary,R&B / Soul
song_690e2516dfbb7b1f26340aa4b0e4d8595086ef30bde2d82331fbf4800f58682e,Call It Poison,The Escape Club,"[""Pop"", ""Rock""]",weak_or_conflicting_evidence,"[""compatible_tags_within_category"", ""isolated_low_support_category"", ""pop_with_specific_genre""]",[],insufficient,
song_695e422dbade3ba08674fe80528f816e49d4db0c0462ec073a9b0b8608aa9708,I Need Your Love,Calvin Harris Featuring Ellie Goulding,"[""Electronic / Dance"", ""Pop""]",cross_genre_strong_evidence,"[""compatible_tags_within_category"", ""pop_with_specific_genre"", ""electronic_crossover"", ""multiple_strong_candidates"", ""competing_strong_categories""]","[""Pop"", ""Electronic / Dance""]",ambiguous,
song_6ccb3e49d2962a804c8e24914948ebaa0fc67ee45d64197dea1eef5d3ee1dcb9,Unwritten,Natasha Bedingfield,"[""Alternative / Indie"", ""Electronic / Dance"", ""Hip-Hop / Rap"", ""Pop"", ""Rock""]",cross_genre_strong_evidence,"[""compatible_tags_within_category"", ""isolated_low_support_category"", ""pop_with_specific_genre"", ""rock_alternative"", ""electronic_crossover"", ""multiple_strong_candidates""]","[""Pop"", ""Rock"", ""Electronic / Dance""]",primary,Pop
song_6cda31159f4d6dcdb0c80f2a8d40cfb6ae13ad3a19e5a32e88ce6b47db330dae,God In Me,"Mary Mary Featuring Kierra ""KiKi"" Sheard","[""Gospel / Christian"", ""R&B / Soul""]",weak_or_conflicting_evidence,"[""compatible_tags_within_category"", ""isolated_low_support_category""]","[""Gospel / Christian""]",primary,Gospel / Christian
song_6e5d8029c506f51ce90b3a6a2999e7adb3b0e6d11a748d072eabea5e30402392,Loser,3 Doors Down,"[""Alternative / Indie"", ""Metal"", ""Pop"", ""Rock""]",cross_genre_strong_evidence,"[""compatible_tags_within_category"", ""isolated_low_support_category"", ""pop_with_specific_genre"", ""rock_alternative"", ""rock_metal"", ""multiple_strong_candidates"", ""competing_strong_categories""]","[""Rock"", ""Alternative / Indie"", ""Metal""]",ambiguous,
song_6f65db831f5b81a145522b7a18009f08d47f4266b495ad005a98f0b26502cbfa,Billie Jean,Michael Jackson,"[""Electronic / Dance"", ""Pop""]",weak_or_conflicting_evidence,"[""compatible_tags_within_category"", ""isolated_low_support_category"", ""pop_with_specific_genre"", ""electronic_crossover"", ""artist_context_adds_other_categories""]",[],insufficient,
song_70900a0ccd6744ecc1717fb703c8e1af72932434bd9a2708ed285ac0437294d8,Taking You Home,Don Henley,"[""Pop"", ""Rock""]",cross_genre_strong_evidence,"[""compatible_tags_within_category"", ""pop_with_specific_genre"", ""multiple_strong_candidates"", ""competing_strong_categories""]","[""Pop"", ""Rock""]",ambiguous,
song_71147487997243ed502c93376408a146dc10fbc064a7e95f9917a826dd29a95c,I Can Only Imagine,MercyMe,"[""Folk / Singer-Songwriter"", ""Gospel / Christian"", ""Hip-Hop / Rap"", ""Pop"", ""Rock""]",weak_or_conflicting_evidence,"[""compatible_tags_within_category"", ""isolated_low_support_category"", ""pop_with_specific_genre""]","[""Gospel / Christian""]",primary,Gospel / Christian
song_728925dc4a3c8dbfe9f3246dffa5d6a5f5ae65ef8637ee88e521237fad75a8da,Don't Want To Live Without It,Pablo Cruise,"[""Pop"", ""Rock""]",weak_or_conflicting_evidence,"[""compatible_tags_within_category"", ""isolated_low_support_category"", ""pop_with_specific_genre""]","[""Rock""]",primary,Rock
song_733e4b6f3321d3f1f4506afc9ec8b748aa2f3f9a3a0759a41152cfdf8ed4aa37,The Life Of A Showgirl,Taylor Swift Featuring Sabrina Carpenter,"[""Electronic / Dance"", ""Pop""]",weak_or_conflicting_evidence,"[""compatible_tags_within_category"", ""isolated_low_support_category"", ""pop_with_specific_genre"", ""electronic_crossover"", ""artist_context_adds_other_categories""]","[""Pop""]",primary,Pop
song_73bb6d17dc79b2d3de5b3da5aa9c9bac42813c975b368517a5f7e28fdd76e1c6,"Hold Me, Thrill Me, Kiss Me",Mel Carter,"[""Pop"", ""R&B / Soul"", ""Rock""]",weak_or_conflicting_evidence,"[""compatible_tags_within_category"", ""isolated_low_support_category"", ""pop_with_specific_genre""]","[""Pop"", ""R&B / Soul""]",primary,R&B / Soul
song_743651acd80309a38ef51ee4e42f7dc5e9cd9a4d8a66440fa563b76e7a855478,Feels So Good,Chuck Mangione,"[""Electronic / Dance"", ""Jazz / Blues"", ""Latin"", ""Pop""]",weak_or_conflicting_evidence,"[""compatible_tags_within_category"", ""isolated_low_support_category"", ""pop_with_specific_genre"", ""latin_crossover"", ""electronic_crossover""]","[""Jazz / Blues""]",primary,Jazz / Blues
song_74d66195fec3569a1e3d88dc420206fb1c36bac811ae60670a697f87b3b6440e,Storm,Lenny Kravitz Featuring Jay-Z,"[""Alternative / Indie"", ""Pop"", ""Rock""]",cross_genre_strong_evidence,"[""compatible_tags_within_category"", ""isolated_low_support_category"", ""pop_with_specific_genre"", ""rock_alternative"", ""multiple_strong_candidates""]","[""Pop"", ""Rock""]",primary,Rock
song_7628d7c89369b86236d0a545d69be37dddd4c1188b65d11a1a55ea4ff0619538,Angel,Shaggy Featuring Rayvon,"[""Hip-Hop / Rap"", ""Pop"", ""R&B / Soul"", ""Reggae / Dancehall"", ""Rock""]",cross_genre_strong_evidence,"[""compatible_tags_within_category"", ""pop_with_specific_genre"", ""rap_soul"", ""multiple_strong_candidates"", ""competing_strong_categories""]","[""Pop"", ""Rock"", ""R&B / Soul"", ""Reggae / Dancehall""]",ambiguous,
song_7777912a427e8889d0ef0b067fdacad66d788f81927b6d247a8c360162c112d5,Chasing Pavements,Adele,"[""Alternative / Indie"", ""Pop"", ""R&B / Soul""]",cross_genre_strong_evidence,"[""compatible_tags_within_category"", ""isolated_low_support_category"", ""pop_with_specific_genre"", ""multiple_strong_candidates""]","[""Pop"", ""R&B / Soul""]",primary,Pop
song_78e9fe25cee951189ac5809e395168efdeb16dbf0562071c61e6f0d4ae5d8791,Headed For A Fall,Firefall,"[""Country"", ""Pop"", ""Rock""]",weak_or_conflicting_evidence,"[""compatible_tags_within_category"", ""isolated_low_support_category"", ""pop_with_specific_genre""]",[],insufficient,
song_7a44272f46696cf7fb99421c7335835b29f3be76ab51a123ff37068e2e4a857e,Wildside,Marky Mark & The Funky Bunch,"[""Electronic / Dance"", ""Hip-Hop / Rap"", ""Pop""]",weak_or_conflicting_evidence,"[""compatible_tags_within_category"", ""isolated_low_support_category"", ""pop_with_specific_genre"", ""electronic_crossover""]",[],insufficient,
song_7bd2bf2045e94364196d1d0692a69c3eca9cdc58cf9e955096695cdebd374316,I'll Wait,Van Halen,"[""Metal"", ""Rock""]",weak_or_conflicting_evidence,"[""compatible_tags_within_category"", ""rock_metal""]","[""Rock""]",primary,Rock
