song_id,title,artist,period,primary_genre,old_disposition,judgment,note,review_reference,reviewer
song_3eb736395cef262f74b3ad8d05022ba5e4433e4f2bec3cf292bbd0b625834420,Right On The Tip Of My Tongue,Brenda & The Tabulations,1970s,R&B / Soul,ambiguous,plausible,Soul is a plausible broad assignment for the performance.,,assistant_qualitative_metadata_review
song_3f03586f6e4f59f31fb4a4e5f6fb42e49d0ef36328eefef2164e31fd1299a1d0,We Are Family,Sister Sledge,1970s,Electronic / Dance,ambiguous,plausible,"Disco to Electronic/Dance is consistent with the declared taxonomy, despite soul/funk crossover.",,assistant_qualitative_metadata_review
song_5ad09d487797f0b25f25cdc057d4daa9cb0603c8b37b8df55625112d6156b849,(Where Do I Begin) Love Story,Andy Williams,1970s,Pop,ambiguous,plausible,Traditional/adult Pop is a sensible broad interpretation.,,assistant_qualitative_metadata_review
song_743651acd80309a38ef51ee4e42f7dc5e9cd9a4d8a66440fa563b76e7a855478,Feels So Good,Chuck Mangione,1970s,Jazz / Blues,ambiguous,plausible,Jazz interpretation fits the instrumental crossover; instrumental status is not itself a genre.,,assistant_qualitative_metadata_review
song_8c901f5b3e5e4c25f7cf44180cd1bedcb3567ea88b9e7b4153fe86d1ba6fa8c8,Take Me In Your Arms (Rock Me),The Doobie Brothers,1970s,Rock,ambiguous,questionable,"Rock is plausible for this cover, but its soul roots make an exclusive primary less certain; do not copy the original version genre automatically.",,assistant_qualitative_metadata_review
song_b03e2ccfd2ef38b55a5a4b9d561ca174161c714d8d380d32b50b28679ab09813,What Can I Do With This Broken Heart,England Dan & John Ford Coley,1970s,Rock,ambiguous,questionable,Soft-rock/Pop boundary remains subjective; generic-Pop suppression should not be mistaken for independent corroboration.,,assistant_qualitative_metadata_review
song_b7ae45ffd7fb35b6bd81abbfb4fc36b04071dbe8847757321e5c8dc779360e24,I Feel Love,Donna Summer,1970s,Electronic / Dance,ambiguous,plausible,Disco/electronic evidence appropriately dominates isolated blues/classic-rock tags.,,assistant_qualitative_metadata_review
song_0a4467e4f6348ed58844edeb408b801f03fefaed28f0594d30a62706c6b0fca4,New World Man,Rush,1980s,Rock,ambiguous,plausible,Progressive/hard-rock evidence converges on Rock.,,assistant_qualitative_metadata_review
song_37a4d0085f53ce98da3e9da4fd8efabcd01ec5858244c84d6a9a6e65d9571e36,Shame On The Moon,Bob Seger & The Silver Bullet Band,1980s,Rock,ambiguous,questionable,Rock is plausible but the country/country-rock ballad boundary is underrepresented in the surviving evidence.,,assistant_qualitative_metadata_review
song_6063e3caaf6f18469a7a32f76f64fd10bc58b26e3b16a50159463c8e00ed62dc,I Wanna Dance With Somebody (Who Loves Me),Whitney Houston,1980s,Pop,ambiguous,plausible,"Dance-pop primary is defensible; taxonomy maps dance-pop to Pop, not automatically Electronic.",,assistant_qualitative_metadata_review
song_63e9f093b529ca7dc0ea22959a6c2ea68205186ed2e11a507c43fd4b6f41f7cd,I Feel For You,Chaka Khan,1980s,Pop,ambiguous,clearly_wrong,Pop as the sole strong genre is misleading for this R&B/funk crossover. The direct tags miss adequate R&B support despite the recording winning an R&B performance award.,https://www.grammy.com/video/27th-annual-grammy-awards-best-rb-vocal-performance-female/,assistant_qualitative_metadata_review
song_7bd2bf2045e94364196d1d0692a69c3eca9cdc58cf9e955096695cdebd374316,I'll Wait,Van Halen,1980s,Rock,ambiguous,plausible,Hard rock supports the broad Rock category; electronic instrumentation alone is not Electronic/Dance genre.,,assistant_qualitative_metadata_review
song_9b69efe97ee2317d76c9725dc34d48ada43766dde1cb10deb8f2413a8514a068,Crazy For You,Madonna,1980s,Pop,ambiguous,plausible,Pop is a defensible primary for this ballad; the retained Electronic secondary deserves caution.,,assistant_qualitative_metadata_review
song_a7197574545e330517462fa119faa8564536ede13d65ed7f397ab96866e5d2de,Lost In Your Eyes,Debbie Gibson,1980s,Pop,ambiguous,plausible,Pop is a defensible broad label.,,assistant_qualitative_metadata_review
song_bd6376a34f2de0be504db8d256d94eff21b823a697c698e02dab73d9476f0062,Still Loving You,Scorpions,1980s,Rock,ambiguous,questionable,"Rock is plausible, but hard-rock/Metal ballad taxonomy remains unresolved; the tag rule cannot certify which should be primary.",,assistant_qualitative_metadata_review
song_f62b2b6113fad8aa92dfa0b6ad2a8b8f581c0ee3fd8c4781be8a3af5247212dd,Red Red Wine,UB40,1980s,Reggae / Dancehall,ambiguous,plausible,Reggae clearly dominates in this performance; broad Pop/Rock context remains secondary.,,assistant_qualitative_metadata_review
song_09720b8afffd38569a6352df46e232b20a2ac3eb262649dcd3deb14a06fef4b0,Got To Get It,Sisqo Featuring Make It Hot,1990s,R&B / Soul,ambiguous,plausible,R&B/Soul fits the performance despite dance/hip-hop crossover.,,assistant_qualitative_metadata_review
song_65d961f1cc030daf42f3cc1a7c4d3ea9f9df66fb6d1fbf8655c5f1f2eaa7603f,My Heart Will Go On,Celine Dion,1990s,Pop,ambiguous,plausible,Pop primary fits this ballad; Rock secondary from tags is not automatically valid.,,assistant_qualitative_metadata_review
song_9d842cdc104a5dd044703af98874fc46df717e13ecc4ace038882875f6caede0,Achy Breaky Heart,Billy Ray Cyrus,1990s,Country,ambiguous,plausible,Country primary fits; country-rock/pop elements need not prevent a broad assignment.,,assistant_qualitative_metadata_review
song_b38b11172a916cc06707f86633944054b2dcf911f1858a7316f5c8f82b69f4ed,I Fell In Love,Rockell,1990s,Electronic / Dance,ambiguous,questionable,"Dance/freestyle classification is plausible from tags, but no independent song-specific validation was established in this review.",,assistant_qualitative_metadata_review
song_b555d7adc406312bc519e83111bf9e3801029c3f84ee56adbb3ffdc03794f183,Livin' La Vida Loca,Ricky Martin,1990s,Pop,ambiguous,questionable,"Pop is defensible but selecting it over Latin is not unambiguously correct. The Latin category describes a crossover market/style, not a disjoint alternative.",https://www.grammy.com/news/ricky-martins-vida-loca/,assistant_qualitative_metadata_review
song_d8524775ea0b49eec78378d984ac3dc3b1cbfbf577b70169d7684611d3903930,Waterfalls,TLC,1990s,R&B / Soul,ambiguous,plausible,R&B/Soul is a defensible primary; rap and Pop elements remain possible even when below support threshold.,,assistant_qualitative_metadata_review
song_d85c143df834e14c54ba7837752803ae6c142f916f0fdb35b89f66766a0986c6,Insane In The Brain,Cypress Hill,1990s,Hip-Hop / Rap,ambiguous,plausible,Hip-Hop/Rap fits; compatible regional subgenres provide convergent support.,,assistant_qualitative_metadata_review
song_db6cb0c18cbe8cc635e66c9b72c54190675e442058e6295d3b0646d144eafefe,What It Takes,Aerosmith,1990s,Rock,ambiguous,plausible,Rock is a plausible broad primary for this ballad.,,assistant_qualitative_metadata_review
song_f413bb2f755c0d08ca66cbd330d8d0aad2f4b54c4786ea8a890fbabdd4ead78d,Smells Like Teen Spirit,Nirvana,1990s,Alternative / Indie,ambiguous,plausible,Grunge/alternative support now yields Alternative/Indie instead of being blocked by isolated Pop.,https://rockhall.com/inductees/nirvana/?field_induction_category=All,assistant_qualitative_metadata_review
song_04804816c9145c2fc431928b1be17072cff6e54ba8ebb244f2979004992b8cc7,Lollipop,Lil Wayne Featuring Static Major,2000s,Hip-Hop / Rap,ambiguous,plausible,Hip-Hop/Rap is a defensible primary for this melodic rap crossover.,,assistant_qualitative_metadata_review
song_05a86ff01ac556415d3cb8874722e76415ecbc09cc09fd0b3c5b8cbf8c621e63,Turn Off The Light,Nelly Furtado,2000s,Pop,ambiguous,plausible,"Pop is defensible, while stylistic fusion should not be interpreted as absent.",,assistant_qualitative_metadata_review
song_1f6349d2aae418419d9d25e0bcd3c679692b5c2dc283d7956d6bc5b1705d3ca7,If You're Not The One,Daniel Bedingfield,2000s,Pop,ambiguous,plausible,Pop is a plausible broad label for the ballad.,,assistant_qualitative_metadata_review
song_4d2af74993fa18cf7cd81fd1e65cc180f6489407030a1569670f9c1c27579169,I Don't Want To Be,Gavin DeGraw,2000s,Rock,ambiguous,plausible,Rock with Pop support is a reasonable broad interpretation.,,assistant_qualitative_metadata_review
song_6ccb3e49d2962a804c8e24914948ebaa0fc67ee45d64197dea1eef5d3ee1dcb9,Unwritten,Natasha Bedingfield,2000s,Pop,ambiguous,plausible,Pop primary is defensible; the strong Rock secondary is less secure.,,assistant_qualitative_metadata_review
song_6cda31159f4d6dcdb0c80f2a8d40cfb6ae13ad3a19e5a32e88ce6b47db330dae,God In Me,"Mary Mary Featuring Kierra ""KiKi"" Sheard",2000s,Gospel / Christian,ambiguous,plausible,Compatible gospel/Christian evidence now supports the broad Gospel/Christian category; R&B fusion is not denied.,,assistant_qualitative_metadata_review
song_71147487997243ed502c93376408a146dc10fbc064a7e95f9917a826dd29a95c,I Can Only Imagine,MercyMe,2000s,Gospel / Christian,ambiguous,plausible,Christian/gospel/worship evidence collectively supports Gospel/Christian without needing that literal final label.,,assistant_qualitative_metadata_review
song_74d66195fec3569a1e3d88dc420206fb1c36bac811ae60670a697f87b3b6440e,Storm,Lenny Kravitz Featuring Jay-Z,2000s,Rock,ambiguous,questionable,"Rock is defensible, but the featured rap collaboration warrants explicit cross-genre context rather than interpreting the primary as exclusive truth.",,assistant_qualitative_metadata_review
song_d24f6fd8895421cd9acf561e8f8930a76b1cf98a7c08be860ff51ab33f11f6a2,Don't Know Why,Norah Jones,2000s,Jazz / Blues,ambiguous,plausible,Jazz primary with Pop secondary is defensible; award categories show the crossover remains real.,https://www.grammy.com/artists/norah-jones/13227/,assistant_qualitative_metadata_review
song_1536f56260fa47cc50543a8b42effe5f14f56b430b7680f4ca015d96bb96abf4,Not Afraid,Eminem,2010–2019,Hip-Hop / Rap,ambiguous,plausible,Hip-Hop/Rap is a defensible broad primary.,,assistant_qualitative_metadata_review
song_3189c8cc897e59c9677a0d9ffeab56b397eace0c2786b0e6fdd7e5e5e2168863,On My Mind,Ellie Goulding,2010–2019,Pop,ambiguous,plausible,Dance/electropop support maps consistently to Pop.,,assistant_qualitative_metadata_review
song_43cbbe25d01436f24fa263dfde7adfd25ac01df38bb9626312dc241b8daa4857,Shake It Off,Taylor Swift,2010–2019,Pop,ambiguous,plausible,Pop fits this recording; weak country tags should not transfer an earlier artist style automatically.,,assistant_qualitative_metadata_review
song_44683eee837441e8cd22fc679ce347dff944f316f116b720b5e90a5580462716,Barcelona,Ed Sheeran,2010–2019,Pop,ambiguous,questionable,Pop is plausible but this individual track was not independently corroborated; do not infer style from title or artist alone.,,assistant_qualitative_metadata_review
song_54fa1a7fe242cd86c6694031c7b71d8124f3dde1b2517e4e3792498a2d2709a9,Dear Future Husband,Meghan Trainor,2010–2019,Pop,ambiguous,plausible,Pop is defensible for this retro-styled crossover; older soul/doo-wop influences can coexist.,,assistant_qualitative_metadata_review
song_8665a124456b78459e42436a6abf3c1cd6dbf5a06c66ddfbe532cd2370a375f9,Human,Christina Perri,2010–2019,Pop,ambiguous,plausible,"Pop is a defensible broad ballad category, though a generic tag alone is less persuasive than detailed song evidence.",,assistant_qualitative_metadata_review
song_924796ac685f2d06b74e6f58caa5d6bb561d9f0444e2180dcd461857eebb3ab6,Am I Wrong,Nico & Vinz,2010–2019,Pop,ambiguous,questionable,Pop is plausible but the global/African-pop crossover is not represented by the strong tags; broad Pop may hide culturally specific style.,,assistant_qualitative_metadata_review
song_aaa0e4a963fc10aa6f920a0aac49efadb98b0565d37028e63fbe65b523fb1575,Lighters,Bad Meets Evil Featuring Bruno Mars,2010–2019,Hip-Hop / Rap,ambiguous,plausible,Rap primary is defensible for the rap/pop collaboration.,,assistant_qualitative_metadata_review
song_ee609cb946e2acfbea67800c78b1fd34dc779ede1eeebbfcef2121cc2fcc452b,Karate Chop (Remix),Future Featuring Lil Wayne,2010–2019,Hip-Hop / Rap,confident_primary,plausible,Rap fits the explicit remix identity; compatible rap subgenres support the broad category.,,assistant_qualitative_metadata_review
song_2582bf1b159682a63c32b25e9c45a1908036654ff50eae584eeffe3d2c7603ea,Good 4 U,Olivia Rodrigo,2020–2026,Pop,ambiguous,questionable,Pop is defensible but Pop/Rock/Alternative overlap remains real; one primary can conceal a pop-punk crossover.,,assistant_qualitative_metadata_review
song_733e4b6f3321d3f1f4506afc9ec8b748aa2f3f9a3a0759a41152cfdf8ed4aa37,The Life Of A Showgirl,Taylor Swift Featuring Sabrina Carpenter,2020–2026,Pop,ambiguous,questionable,"Pop evidence is consistent, but this recent song has no independently inspected style reference here; no verified-correct claim.",,assistant_qualitative_metadata_review
song_f5daad636fce6213fbf775c1e0ed2b596ff259fa88b5bea40660fa9ed8dbcaf0,Die With A Smile,Lady Gaga & Bruno Mars,2020–2026,Pop,ambiguous,questionable,"Pop is plausible, but the ballad/country/soft-rock boundary and exact primary were not independently adjudicated.",,assistant_qualitative_metadata_review
