song_id,title,artist,period,first_chart_date,best_chart_rank,months_selected,word_count,lyrics_sha256,sample_component,sampling_cell,sexual_content_score,violence_score,explicit_language_score,substance_use_score,CSI,app_CSI,MCR,token_count,truncated,inference_seconds,inference_version,model_commit,model_sha256,review_selection,verdict,note,text_quality_note
song_b10199f4fcf60c75729c81ed97259c8e6aa9673cdcb93acdc6f4171e7cf8d945,What A Wonderful World,Louis Armstrong,1980s,1988-02-20,32,3,123,e728af2ca76a971563b9d859c6f7bb450627bad781cf460efe15745dbe20fea7,expected_mild,sentinel,0.009896484203636646,0.00761577719822526,0.002617967315018177,0.004784799180924892,0.6228756974451244,0.0,M-E,129,0,0.5865640831179917,lyriclens-evaluation-v1,71a40996c1021c62d12dc004cbafa3f1c5560162,d272696293bc75d5a82cca2e624800456f734f57382cd9472b5974993ef860cc,expected_mild,correct,"Nature, friendship, and children; low scores fit.",
song_179feb8a79929d69156bfaf7c8ed48a7d01d17db6762f40e1d540507cc4f76e6,Gin And Juice,Snoop Doggy Dogg,1990s,1994-01-29,8,5,611,91de81a8c96dfb3a9f7e59c48337c7869766e31704c97c08960861fd4ca830a9,expected_content,sentinel,0.9856747984886169,0.05327451601624489,0.9964368343353271,0.9980491399765015,75.83588222041726,74.00803864002228,M-AO,724,0,0.8321651250589639,lyriclens-evaluation-v1,71a40996c1021c62d12dc004cbafa3f1c5560162,d272696293bc75d5a82cca2e624800456f734f57382cd9472b5974993ef860cc,expected_content,correct,"Direct sexual, profanity, alcohol, and cannabis content; high scores in those categories fit.",
song_a9824e4acd085fbd53e561a95b0a44b852833928c774ab7affba998ddfec95a6,Closer,Nine Inch Nails,1990s,1994-06-11,41,6,191,7358e388ec50d62a98dff15f2987b7f389927888d53b9bf7e4906549542b36d0,expected_content,sentinel,0.9992576241493225,0.0336122028529644,0.9823169112205505,0.04951094090938568,51.61744197830558,49.07872676849365,M-AO,209,0,0.6087895839009434,lyriclens-evaluation-v1,71a40996c1021c62d12dc004cbafa3f1c5560162,d272696293bc75d5a82cca2e624800456f734f57382cd9472b5974993ef860cc,expected_content; sexual_content_score maximum,correct,Direct sexual language and profanity; strong sexual and language detection fits.,
song_aa13e5b19bab07dc2e5fc83d007dd90e21decb27057023685ff0ca1d8ba13b42,Smack That,Akon Featuring Eminem,2000s,2006-10-07,2,7,580,195bce8d27cd3879dab10ac995d29211d2cf82eb561e1128eda0f59f59d58dfd,expected_content,sentinel,0.9943236112594604,0.9966617822647095,0.9846767783164978,0.9934816360473633,99.22859519720078,98.45719039440155,M-AO,617,0,0.6211606659926474,lyriclens-evaluation-v1,71a40996c1021c62d12dc004cbafa3f1c5560162,d272696293bc75d5a82cca2e624800456f734f57382cd9472b5974993ef860cc,expected_content,questionable,Sexual content and alcohol are present; near-one violence and language scores are poorly supported by this particular local text.,"Several lines appear garbled and strong profanity is absent; clean/version/transcription uncertainty needs separate review, not a score correction."
song_84fb3306a13f9324e94484bea63edeaa1e6248de1587badbb758a41c3fef27e6,Because I Got High,Afroman,2000s,2001-08-18,13,3,614,b99fd7c8fdcdae963fd4b72ddb7490964f4eb965f023fd71acf91aa3319ed5bc,expected_content,sentinel,0.9930768013000488,0.47581905126571655,0.9973924160003662,0.9981903433799744,86.61196529865265,74.43297803401947,M-AO,680,0,0.6531420829705894,lyriclens-evaluation-v1,71a40996c1021c62d12dc004cbafa3f1c5560162,d272696293bc75d5a82cca2e624800456f734f57382cd9472b5974993ef860cc,expected_content,correct,"Direct drug use, profanity, and sexual content; corresponding high probabilities fit.",
song_69823ed1beab1c15adab303458294de6aa805b844e4d9bc1cb759b53d8e1d0b8,Murder On My Mind,YNW Melly,2010–2019,2019-02-02,14,5,635,d7a7f03575fafd2da31ec8415232bc7aecc50e5bca0bb24bb71a59b509a56df9,expected_content,sentinel,0.9946803450584412,0.9969305396080017,0.9922268390655518,0.9907199144363403,99.36394095420837,98.72788190841675,M-AO,675,0,0.6223583330865949,lyriclens-evaluation-v1,71a40996c1021c62d12dc004cbafa3f1c5560162,d272696293bc75d5a82cca2e624800456f734f57382cd9472b5974993ef860cc,expected_content,correct,"Explicit homicide narrative, weapons, drugs, sexual content, and profanity; all four high probabilities fit.",
song_8e7a07712e424d6dc71b31f594afafc6604cf5d4f09fcf81c91908a2c45b979d,Anaconda,Nicki Minaj,2010–2019,2014-08-23,2,6,600,d868c469225d1d282edddf3eba7ad0ef912497c27c0eeaf3afd93fd024db6f29,expected_content,sentinel,0.9913773536682129,0.995987594127655,0.9940896034240723,0.9958053827285767,99.43149834871292,98.86299669742584,M-AO,700,0,0.6285452090669423,lyriclens-evaluation-v1,71a40996c1021c62d12dc004cbafa3f1c5560162,d272696293bc75d5a82cca2e624800456f734f57382cd9472b5974993ef860cc,expected_content; CSI low/middle/high,correct,"Direct sexual content, gun/shooting references, drugs, and profanity; all four high probabilities fit.",
song_dcd6fc07dd41fb2112e83cc37ad3cb0288359e4b90661faeb2891c6a2a7f5e89,The Hills,The Weeknd,2010–2019,2015-06-13,1,11,434,071ad23f2d71e54d71ca4d8e83294665e3646c7b87a3eb08094cefa19801d87e,expected_content,sentinel,0.9916415214538574,0.014510498382151127,0.9964240193367004,0.9917789101600647,74.85887373331934,73.99222254753113,M-AO,473,0,0.6122157499194145,lyriclens-evaluation-v1,71a40996c1021c62d12dc004cbafa3f1c5560162,d272696293bc75d5a82cca2e624800456f734f57382cd9472b5974993ef860cc,expected_content,correct,"Sex, profanity, and explicit drug/rehabilitation references; high corresponding scores and low violence fit.",
song_a7464a3d004fed14e1824802fca94ffd5af3ac71e2e2e34435fccd0ff534a2ed,Happy,Pharrell Williams,2010–2019,2014-01-18,1,12,357,333f8ef4afb37bd3c5cb5974052eaed1c4fd01b1bc710a4cec7e792ea7b9e670,expected_mild,sentinel,0.009669705294072628,0.002186145167797804,0.07461319118738174,0.002524430165067315,2.2248367953579873,0.0,M-E,408,0,0.6101604579016566,lyriclens-evaluation-v1,71a40996c1021c62d12dc004cbafa3f1c5560162,d272696293bc75d5a82cca2e624800456f734f57382cd9472b5974993ef860cc,expected_mild,correct,"Celebratory text; low overall scores fit, with only a small language response.",
song_97dde8742e0cc2461773a6d71873bf7831160cc7b3b82fcb096f1022b4c12759,WAP,Cardi B Featuring Megan Thee Stallion,2020–2026,2020-08-22,1,6,717,8f514804229065aae1fa66939d3392c7acde845e3368bbd98d62e5186f81c364,expected_content,sentinel,0.9981549382209778,0.8777651190757751,0.9968451261520386,0.9943211078643799,96.67715728282928,93.35431456565857,M-AO,771,0,0.6424522078596056,lyriclens-evaluation-v1,71a40996c1021c62d12dc004cbafa3f1c5560162,d272696293bc75d5a82cca2e624800456f734f57382cd9472b5974993ef860cc,expected_content,correct,"Graphic sex and profanity, alcohol/cannabis, and violent sexual imagery are present. Whether consensual sexual imagery should count as violence requires a rubric.",
song_61a93b5d45b99392acf44f79106a72ee8e87dee118e990895eafdece3a01ebe9,Have A Nice Day,Bon Jovi,2000s,2005-10-08,53,2,341,841d6e6573a1a43336eb7a878f38ebab26e0355d8f61217640e49264b396f608,stratified_core,rank1_length1,0.0008586191106587648,0.24027776718139648,0.1648620218038559,0.006335132289677858,10.308338509639725,0.0,M-E,369,0,0.6094899580348283,lyriclens-evaluation-v1,71a40996c1021c62d12dc004cbafa3f1c5560162,d272696293bc75d5a82cca2e624800456f734f57382cd9472b5974993ef860cc,sexual_content_score minimum,correct,Defiance and hardship without explicit sexual or substance content; low sexual score fits.,
song_341d5e61c3771b2583160580b52ebf1a8e95798d167c3120383be6d5c367dcd6,Deja Vu,Olivia Rodrigo,2020–2026,2021-04-17,3,7,309,d38187f87450181baaa04b673014ad72b552e6a6b1ed0343f1a2528c50b44acc,stratified_core,rank0_length0,0.13303717970848083,0.0004991397727280855,0.03334003686904907,0.015511014498770237,4.559684271225706,0.0,M-E,351,0,0.625701499870047,lyriclens-evaluation-v1,71a40996c1021c62d12dc004cbafa3f1c5560162,d272696293bc75d5a82cca2e624800456f734f57382cd9472b5974993ef860cc,violence_score minimum,correct,Relationship jealousy; low scores fit this supplied text rather than an assumed explicit recording version.,Local wording contains no strong profanity; do not infer what an uncensored alternative recording would score.
song_9a299229172ef4247b522973a28a572e71a62970370c1d7d60113d13f53c10fe,Highwire,The Rolling Stones,1990s,1991-03-09,57,2,334,34b35e5584493469293cf2c71beec6d84307ec645748c7e5512aabadec72a302,stratified_core,rank1_length1,0.018143802881240845,0.999237060546875,0.26151761412620544,0.007248654495924711,32.15367830125615,24.96185302734375,M-AO,356,0,0.6047503750305623,lyriclens-evaluation-v1,71a40996c1021c62d12dc004cbafa3f1c5560162,d272696293bc75d5a82cca2e624800456f734f57382cd9472b5974993ef860cc,violence_score maximum,correct,"Weapons, warfare, and arms trading are explicitly discussed; violence detection fits. The critical stance is not captured by the probability.",
song_e860962415e52ac4be856ff3fa67796897ffd7bed74fc6959aa53ced2839c9e0,Flashdance...What A Feeling,Irene Cara,1980s,1983-04-02,1,6,245,1a9a4b93dfeb310e9537823ae838ff8d4f4e9305d9049fcd6029d7754748e231,stratified_core,rank0_length1,0.046019718050956726,0.010327884927392006,0.0007651577470824122,0.007610272616147995,1.6180758335394785,0.0,M-E,249,0,0.611144833965227,lyriclens-evaluation-v1,71a40996c1021c62d12dc004cbafa3f1c5560162,d272696293bc75d5a82cca2e624800456f734f57382cd9472b5974993ef860cc,explicit_language_score minimum,correct,Dancing and aspiration; very low language score fits.,
song_3be80d6898e6d7126085bef1a2e577252c3acb8d6fb29059cd60aa374c032093,Flava In Ya Ear,Craig Mack,1990s,1994-08-13,9,6,596,b58577a84a6d3c8ca87d5d624ee4fe7dc17460b9d63fd368addbe07a7e7fc203,stratified_core,rank0_length2,0.21070079505443573,0.990778923034668,0.9996194839477539,0.8851210474967957,77.15550623834133,68.77597272396088,M-AO,695,0,0.6237959170248359,lyriclens-evaluation-v1,71a40996c1021c62d12dc004cbafa3f1c5560162,d272696293bc75d5a82cca2e624800456f734f57382cd9472b5974993ef860cc,explicit_language_score maximum,questionable,Profanity and violent battle metaphors are present; substance 0.885 appears to treat praise slang and figurative smoke as literal use.,
song_10f21a7ac2fc5e27711d31d4a39dd3e60c793cda1e918d41a79a3b7b83519df3,Not Nice,PARTYNEXTDOOR,2010–2019,2017-02-04,82,1,384,462d1cfea5f79e6ab1b359c8e3fc074e24869ba6f997c6e4ddda3df0cef633db,stratified_core,rank1_length1,0.4677222669124603,0.022801732644438744,0.16971124708652496,0.0003945846692658961,16.51574578281725,0.0,M-E,436,0,0.6045855828560889,lyriclens-evaluation-v1,71a40996c1021c62d12dc004cbafa3f1c5560162,d272696293bc75d5a82cca2e624800456f734f57382cd9472b5974993ef860cc,substance_use_score minimum,questionable,"Dancehall/patois courtship; sexual 0.468 may reflect suggestive dancing, but the score is not a reliable measure of its intensity.",English-only normalization loses some stylistic distinctions; no controlled slang intervention was performed.
song_f1bddb6c30e8373851eaf182907b098d1766fc67c2fc89c0c55665db81104c46,If I Were A Boy,Beyonce,2000s,2008-10-25,3,4,307,9a3c0ba28629bc1c8ae1c0aa412bed2668ca9089038f855b481fe4053435d9dd,stratified_core,rank0_length1,0.15987959504127502,0.010442720726132393,0.14955347776412964,0.999404788017273,32.98201453872025,24.970239400863647,M-AO,332,0,0.6120689169038087,lyriclens-evaluation-v1,71a40996c1021c62d12dc004cbafa3f1c5560162,d272696293bc75d5a82cca2e624800456f734f57382cd9472b5974993ef860cc,substance_use_score maximum,correct,A brief alcohol reference supports substance presence. Substance 0.999 does not imply more severe use than a song about sustained intoxication.,
song_6dc4b05872cf526300be88208f4fd48cdc16f207b865ca7c05fd42fcada13675,Cindy's Birthday,Johnny Crawford,1958–1969,1962-05-12,8,3,119,1745409b22da4b50895ff3d70ff22ba4939aadcbf6f1648fb684eb3adf0a8ae4,stratified_core,rank0_length0,0.005797978490591049,0.006606536917388439,0.005478687584400177,0.004868514370173216,0.568792934063822,0.0,M-E,139,0,0.5814594170078635,lyriclens-evaluation-v1,71a40996c1021c62d12dc004cbafa3f1c5560162,d272696293bc75d5a82cca2e624800456f734f57382cd9472b5974993ef860cc,CSI low/middle/high,correct,Birthday gift and school themes; all low scores fit.,
song_8c9359eb2bcab6780ed3a7cdca143da09375324d2952065a07d7adb88bf11161,Foolish Heart,Steve Perry,1980s,1984-11-24,18,4,174,ab956efd346e8066610ccb4d9914b6578d8bf3b173e177655f925c6a54ad8690,stratified_core,rank0_length0,0.005034341011196375,0.007988020777702332,0.005475311074405909,0.004518037661910057,0.5753927631303668,0.0,M-E,190,0,0.5928013331722468,lyriclens-evaluation-v1,71a40996c1021c62d12dc004cbafa3f1c5560162,d272696293bc75d5a82cca2e624800456f734f57382cd9472b5974993ef860cc,CSI low/middle/high,correct,Cautious romance and heartbreak; all low scores fit.,
song_828a2fabc32543ca52c9c7d0e53a3f25f6182b996df6b3fcb860b8c631774b4c,Feels So Good,Xscape,1990s,1995-06-24,32,4,381,7fa24083cf5458524659a61a207327cb7cf66d84f6ad333830e803d010eba06a,stratified_core,rank0_length1,0.9854281544685364,0.0032091590110212564,0.019177554175257683,0.002223399467766285,25.25095667806454,24.27140772342682,M-AO,399,0,0.6164033329114318,lyriclens-evaluation-v1,71a40996c1021c62d12dc004cbafa3f1c5560162,d272696293bc75d5a82cca2e624800456f734f57382cd9472b5974993ef860cc,CSI low/middle/high; intermediate CSI,correct,"Sensual touching and loss of control support sexual-content presence, without strong profanity or drug content.",
song_0213bb2ca26a8b0e613f83fdc3a1bf713269c08a2c6cbcb19d0e85cd0bb40e4f,Floy Joy,The Supremes,1970s,1972-01-08,16,3,252,04777903aa8c02a62328e5ba61e2ad3f54cab587c6bcb354cc4f87633894498e,stratified_core,rank0_length1,0.9925670623779297,0.00673894165083766,0.0041030594147741795,0.006735802162438631,25.253621640149504,24.628353118896484,M-AO,328,0,0.6002957918681204,lyriclens-evaluation-v1,71a40996c1021c62d12dc004cbafa3f1c5560162,d272696293bc75d5a82cca2e624800456f734f57382cd9472b5974993ef860cc,CSI low/middle/high; intermediate CSI,questionable,"Flirtation, pleasure, and giving oneself are suggestive; sexual 0.993 is plausible as presence but not evidence of extreme explicitness.",
song_0952b517e2fef799bf238e7dc58b1371cc57ea3450759f0c13ba18c1ca658fc1,America Has A Problem,Beyonce Featuring Kendrick Lamar,2020–2026,2023-06-03,38,1,709,de972cfadf494f258289a3ddde387c2bf7cc2ccfe11dbd320e6c13f4824417dd,stratified_core,rank1_length2,0.9932907819747925,0.9959623217582703,0.9936965107917786,0.9946887493133545,99.4409590959549,98.88191819190979,M-AO,810,0,0.6351837078109384,lyriclens-evaluation-v1,71a40996c1021c62d12dc004cbafa3f1c5560162,d272696293bc75d5a82cca2e624800456f734f57382cd9472b5974993ef860cc,CSI low/middle/high,correct,"Sexual and drug imagery, threats, and profanity are present; all-category detection fits, with figurative and literal content mixed.",
song_9072c5ee05fedc84220a23ef4901f2e73eedea66b912cb96f14d1a9a3fbe167a,Georgy Girl,The Seekers,1958–1969,1966-12-03,2,4,204,d88b20e14bfc6848a024cc519fbdc8f28d4ca2264a17f2b9cfadef527eeaaa56,stratified_core,rank0_length1,0.7527281045913696,0.004128867294639349,0.001516778371296823,0.00296007189899683,19.033345553907566,12.636405229568481,M-T,249,0,0.6000062499660999,lyriclens-evaluation-v1,71a40996c1021c62d12dc004cbafa3f1c5560162,d272696293bc75d5a82cca2e624800456f734f57382cd9472b5974993ef860cc,period midpoint,clearly_wrong,"Loneliness, appearance, and courtship advice without explicit sexual content; sexual 0.753 is unsupported as explicitness.",
song_41cdcd17020b65b4e4437210a8c492aaa7bdc0500b9ef269cc7168648a893175,River Deep - Mountain High,The Supremes & Four Tops,1970s,1970-11-28,14,3,241,cf22ce8924858f4d3e539e4d2c1849f4a0b845f56d3e97f13df0ae81564a720c,stratified_core,rank0_length1,0.036691512912511826,0.003782739629969001,0.0011666746577247977,0.8709298372268677,22.814269110676832,18.546491861343384,M-R,248,0,0.5904362502042204,lyriclens-evaluation-v1,71a40996c1021c62d12dc004cbafa3f1c5560162,d272696293bc75d5a82cca2e624800456f734f57382cd9472b5974993ef860cc,period midpoint,clearly_wrong,Love compared with increasing height/depth; no literal substance use. Substance 0.871 is a clear metaphor-related false positive.,
song_e850a0ebd5865cbcde0d7358f03fb5b1793e1d046b07f23d6f6f42c012be6355,Cry Just A Little,Paul Davis,1980s,1980-07-19,78,1,260,1550b4edd6c865de6f3a8277f6ad5dc3f8d936cb074ba5f76f7c9a424fe8f5b1,stratified_core,rank1_length1,0.05893915891647339,0.38186323642730713,0.0026977628003805876,0.0009665466495789587,11.111667619843502,0.0,M-E,278,0,0.5950980000197887,lyriclens-evaluation-v1,71a40996c1021c62d12dc004cbafa3f1c5560162,d272696293bc75d5a82cca2e624800456f734f57382cd9472b5974993ef860cc,period midpoint,questionable,Heartbreak and figurative dying; violence 0.382 should not be interpreted as measured violent intensity.,
song_59b578620c6f147ffde7e2fc69ee9a4809e9a70977488526ad587f45fee9ae3c,It's Your Body,Johnny Gill Featuring Roger Troutman,1990s,1996-12-14,43,5,547,1c9e200d0c2541e800905a8908921c3f77e632a00f26db2a89294ea3389ad70d,stratified_core,rank1_length2,0.9971727132797241,0.0077136666513979435,0.02468368597328663,0.0045445626601576805,25.85286571411416,24.858635663986206,M-AO,619,0,0.639178458834067,lyriclens-evaluation-v1,71a40996c1021c62d12dc004cbafa3f1c5560162,d272696293bc75d5a82cca2e624800456f734f57382cd9472b5974993ef860cc,period midpoint,correct,Direct bedroom invitation and undressing support high sexual-content probability.,
song_2a152a848f4917084d006e080ecbb3c882aeafefc1a851978231c794e8f12e5a,Read Your Mind,Avant,2000s,2003-10-04,13,6,485,87d75fbc73517d65e07cff554ecd37683973602a26d9dfb0026c6235f55b7946,stratified_core,rank0_length2,0.9982807636260986,0.006396473851054907,0.055126044899225235,0.00883035734295845,26.71584099298343,24.91403818130493,M-AO,572,0,0.6159901670180261,lyriclens-evaluation-v1,71a40996c1021c62d12dc004cbafa3f1c5560162,d272696293bc75d5a82cca2e624800456f734f57382cd9472b5974993ef860cc,period midpoint,correct,"Sexual fantasy, touching, and a bed invitation support high sexual-content probability.",
song_8b956e0bcda8fd9258e29036463ab076ecd11f90f5146f347d5bb1f339a87454,Keep Me In Mind,Zac Brown Band,2010–2019,2011-10-15,35,5,278,97df64ce2dfbaa675d904c53f110c3cdf2ce457cd6462fc256312d85f6d03160,stratified_core,rank0_length0,0.14159369468688965,0.0194090586155653,0.9973776340484619,0.002514346269890666,29.022368340520188,24.868881702423096,M-AO,291,0,0.5971001670695841,lyriclens-evaluation-v1,71a40996c1021c62d12dc004cbafa3f1c5560162,d272696293bc75d5a82cca2e624800456f734f57382cd9472b5974993ef860cc,period midpoint,correct,"A mild profanity is present, so language presence is plausible. Language 0.997 and the resulting adult rating exaggerate severity.",
song_58d6b7d9f8c8feebefe6c1f2e0edad83f12c28ca40a88354a70bf690997c68a2,One Of The Girls,"The Weeknd, Jennie & Lily Rose Depp",2020–2026,2024-01-13,51,4,376,92931111a3c746df0ddf0ca714379d906b7b4ab525849615801e90c2f979d464,stratified_core,rank1_length1,0.9985690116882324,0.9730780124664307,0.6207316517829895,0.007705496158450842,65.00210430240259,54.61893379688263,M-AO,425,0,0.6245738340076059,lyriclens-evaluation-v1,71a40996c1021c62d12dc004cbafa3f1c5560162,d272696293bc75d5a82cca2e624800456f734f57382cd9472b5974993ef860cc,period midpoint,questionable,Sexual domination and physical harm are explicit; language 0.621 lacks clear profanity support.,
song_3a96b875068a9d12032c2372e69e8054ed77f3ae4351d6222ca3dbd78800372c,Fading Away,Will To Power,1980s,1989-02-04,65,2,213,19524f31f0e95e96ff0717a68dd9e90ea1074cb8c1735a1ecfdb30ce6cc6e1a9,stratified_core,rank1_length0,0.9838030338287354,0.007189508527517319,0.0027277895715087652,0.004282643087208271,24.950074375374243,24.190151691436768,M-AO,228,0,0.6105609580408782,lyriclens-evaluation-v1,71a40996c1021c62d12dc004cbafa3f1c5560162,d272696293bc75d5a82cca2e624800456f734f57382cd9472b5974993ef860cc,intermediate CSI,clearly_wrong,"Romantic longing, touch, and reconciliation without clear erotic acts; sexual 0.984 is unsupported as explicit content.",
song_431842b1312020e5d414f0de65e5c9ec072969ac8df182145eb4f25f39e9a5d3,If I Ever Fall In Love,Shai,1990s,1992-10-17,2,7,296,e4468202ca6130c0bc322d6de2293247f257d7a08b84b9ac3de9132daf56ff47,stratified_core,rank0_length1,0.982672929763794,0.004757922142744064,0.003885838435962796,0.003523698076605797,24.871009710477665,24.133646488189697,M-AO,304,0,0.5968980831094086,lyriclens-evaluation-v1,71a40996c1021c62d12dc004cbafa3f1c5560162,d272696293bc75d5a82cca2e624800456f734f57382cd9472b5974993ef860cc,intermediate CSI,questionable,Physical attraction is mentioned but the focus is friendship and commitment. Sexual 0.983 illustrates the presence-versus-severity problem.,
