song_id,billboard_title,billboard_artist,first_chart_date,candidate_id,matched_title,matched_artist,album,duration,identity_confidence,text_quality,outcome,reason,warnings,cleaning_steps,source_text_sha256,cleaned_sha256
song_341cb28a6ab09001d49777b54e8731098ce839936771c0ec02e8e94e4e968107,I'm A Flirt,R. Kelly Or Bow Wow (Featuring T.I. & T-Pain),2007-03-03,3736196,I'm a Flirt,R. Kelly feat. T-Pain & T.I.,The Hit List 16,0.0,identity_ambiguous,text_usable_with_minor_noise,identity_ambiguous,Billboard identity explicitly offers alternative performers; cache contains materially different Bow Wow and R. Kelly versions. No unambiguous asset-level text selection.,"[""version_label_present_in_candidates""]","[""outer_whitespace""]",2786c7374f7e992ab4b7b07445244c90715d8d2000c607997594525adf241b87,0620fa7995424e3d2c4e7ee9ef3d155caedc4594bb84456acd8672423e6fe390
song_3972d9f912a9d4ac06d1f8730798459754507eda9d09bfedf546fc15b3667f15,When I Grow Too Old To Dream,Ed Townsend,1958-09-29,18548210,When I Grow Too Old to Dream,Dizzy Gillespie,The Ultimate Jazz Archive,175.1081,identity_wrong,text_good,wrong_identity,"All cached candidate credits refer to other performers or other titles; none supports the Billboard asset. Text quality describes the inspected available record, not its suitability for this asset.",[],"[""outer_whitespace""]",cd00009bce4cf3272a0d59ae3425d0c86384207fad6a6df449fd5d2589fd06ba,5f383976fb5c2c0d8b5637a60a31e6bdc91dc5e7f40b3fbf6dea04e7fc111d69
song_3a4515be007339de722f0d7970beade124515f201ef9cb003e073dde93032c32,Flooded The Face,Lil Uzi Vert,2023-07-15,9234958,Flooded the Face,Lil Uzi Vert,International Rap Hits 2023,192.0,identity_high_confidence,text_usable_with_minor_noise,recoverable,Full unmasked text with duration support; reject the spam candidate and masked alternate. Preserve source version differences and minor transcription uncertainty.,"[""multiple_transcriptions"", ""censorship_or_version_variation""]","[""outer_whitespace""]",fee164af4db1d95a6af073c0c44a180c722fe5dfb32f2d078f7869c39f2a6f68,fdd6166fe5db402b7a29f63428bcbd83901aad0db7147e40907ea592a3b8300a
song_3fca2bbd0e810e6df6f6091a56c9b00785fa13ab6bad213655791018a5d698c0,Wreckage,Nate Smith,2023-05-13,970558,Wreckage,Nate Smith,NATE SMITH,213.0,identity_high_confidence,text_good,recoverable,Studio album preferred; acoustic-labelled alternate differs by one interjection and does not invalidate the studio text.,"[""multiple_transcriptions"", ""version_label_present_in_candidates""]","[""outer_whitespace""]",83b1e75a1b096748046046c6c2f56b971f26a0e7e75db4b7af49ef87131b7966,a869f15b814e57af1254613492c5a6ace76dfc5996e34b6b693aa1bbe92abfbe
song_4195a0fafa2a3493431f9b85bf72524d0a808a7813d989924016ef7b1cac277b,You Look Like I Need A Drink,Justin Moore,2016-08-27,12919,You Look Like I Need a Drink,Justin Moore,Kinda Don't Care,187.0,identity_high_confidence,text_good,recoverable,"Studio-album text with same duration; small phrase and vocalization differences, no substantial loss.","[""multiple_transcriptions"", ""version_label_present_in_candidates""]","[""outer_whitespace""]",64cbf6763f331dc7caf592d402238737f55cb67d507edd19d987088c9f1fee69,2c7d8cbebf914b86b54058af4e4fc6e586cea33ff1de0a9c589115497e88d88e
song_4396d766183dc70988461417a65cd6d20f3541094380ad1eb4fe01fc7190c6e2,I Will Remember You,Amy Grant,1992-04-25,1104013,I Will Remember You,Amy Grant,Heart in Motion,300.0,identity_high_confidence,text_good,recoverable,Same album and performer; variants differ by a repeated line and spelling.,"[""multiple_transcriptions"", ""version_label_present_in_candidates""]","[""outer_whitespace""]",c60e5e097d4fd25da885b0185a6b1d8ee59d3417c30b9cfe03e1ae3b2acd54ba,c396e8e296f9d493357d71a2c107834d7d133301faebdd3920107ff8747c140c
song_448ff89aa8bba475de4f3070a54f649096dd2f6d289234208f3c317eaeb68711,African Waltz,Cannonball Adderley Orchestra,1961-04-10,1640532,African Waltz,Johnny Dankworth and His Orchestra,"The Best of Johnny Dankworth, Vol. 1",142.0,identity_wrong,text_bad,wrong_identity,"All cached candidate credits refer to other performers or other titles; none supports the Billboard asset. Text quality describes the inspected available record, not its suitability for this asset. Selected candidate also carries text about a different titled song.",[],"[""outer_whitespace""]",bd0be68759c3e51abae3758be18ede6a232c4f7327f336f1051226ce287fa105,dd6ac8a47d9aeb5654a66323e955b4eda7ea851d82484bb1c9f1fe5d70f6460c
song_4c96473f1a63f509785606cd479a27c4dbc4f9ab4a3042e4a1a70afb685fe05e,You Raise Me Up,Josh Groban,2004-03-20,18359173,You Raise Me Up,Josh Groban,Closer (CD),290.16,identity_high_confidence,text_good,recoverable,Select existing text retaining repeated chorus fragments; alternate abbreviates backing-vocal fragments.,"[""multiple_transcriptions"", ""version_label_present_in_candidates""]","[""outer_whitespace""]",8d740d1a06ba183da17805fd965f4d6469de033d75e41fad96ff1a54c4ec62a1,2d8b81a69efca6e176ff979146d51c947e331d39e6f56e72521720d793b224f1
song_519b240b455be64da13e6a06614e81c3d1bd12ceaed24180c073d07c10417059,Need Your Loving Tonight,Queen,1980-11-29,33614452,Need Your Loving Tonight,Queen,The Game (CD1-Original),169.0,identity_high_confidence,text_usable_with_minor_noise,recoverable,"Original-album context and same duration; variants differ by a short phrase, not song identity.","[""multiple_transcriptions""]","[""outer_whitespace""]",2a93e8cc96cccd98497233b3ba0362d964d47e7f078738249aa0085113a33642,e78e73e2196aa212660affc5dc949f718b52ab0c6e40a58d36920c53ef94d355
song_526742d65f2140d181b076bfc466efd4fe4fa979991d21f5a528c2d4020483ff,In My Life,Juvenile Featuring Mannie Fresh,2004-01-03,36986270,In My Life,The Beatles,Rubber Soul (US) [Capitol L 2442],146.0,identity_wrong,text_good,wrong_identity,"All cached candidate credits refer to other performers or other titles; none supports the Billboard asset. Text quality describes the inspected available record, not its suitability for this asset.",[],"[""outer_whitespace""]",48b90aaea778fffcffb1783ca31f72c8331b87281bf0040951f80f873048ada7,4f57070d91668831dd71a68c0643ca50818aea4a9767b0762bdf5e0da5bc9dd9
song_5aa56fb803f5549454b9da7e4d11b0d75aba85b3728b5c6f2070c623995b7b1f,Clean (Taylor's Version),Taylor Swift,2023-11-11,4030563,Clean (Taylor's Version),Taylor Swift,1989 (Taylor's Version),271.0,identity_high_confidence,text_good,recoverable,"Exact re-recording title and 271-second metadata support. Variants mainly differ in backing vocalizations; select text without Cyrillic lookalikes. Clean is the song title, not a censorship label.","[""multiple_transcriptions"", ""version_label_present_in_candidates""]","[""outer_whitespace""]",a59b3c40365b3a587ec62922915cd6b1388f30057d3e4fdd2a6783eae15a0cec,585bb2229b3b0a907657c5f6c5c2bcdaa4e45353c84d72f43c9cc4683351576f
song_5bd250a6dfb4bffd1febde2adbfeaa11b9c8ff88409749607e15731a4730ffe1,Red Hot,Herb Alpert,1983-12-10,33545410,Red Hot,Debbie Gibson,Out of the Blue (Deluxe Edition),235.0,identity_wrong,text_good,wrong_identity,"All cached candidate credits refer to other performers or other titles; none supports the Billboard asset. Text quality describes the inspected available record, not its suitability for this asset.","[""version_label_present_in_candidates""]","[""outer_whitespace""]",956398e08a1533f77462ea11af12e7ba7ab5bb06968fed19c116b062d825496a,284d354e5b79939da5306eb27dd53800d183a4f4463feb488768162e7751877a
song_67f806630c66ef02ffd6d60242a5eff8a1ddb62e14a6259cd0acec349f1c4420,In My Room,Julia Wolf,2026-03-21,18921298,In My Room,Julia Wolf,In My Room,160.0,identity_high_confidence,text_good,recoverable,Studio-associated entry preferred to acoustic alternate. Two short grammatical differences do not imply different substantive lyrics.,"[""multiple_transcriptions"", ""version_label_present_in_candidates""]","[""outer_whitespace""]",8e095d71f3f74150b8f70259ebeaab45740034a6b6825ab4295045abe3f26ec8,5ed48ff0b4f0da26f2c41f323cec8f28c579ba5977b71c30c8923b86a6e50282
song_6bb14184c41cb9b83881802bf091c508126e91869dd08efa6dfd2bd7bd073b4d,Boyz Don't Cry,Rod Wave,2023-09-30,3811275,Boyz Don't Cry,Rod Wave,Nostalgia,167.0,identity_high_confidence,text_usable_with_minor_noise,recoverable,Album and near-matching duration support identity; choose text without embedded Cyrillic lookalikes. Explicit-labelled alternate is retained as version evidence.,"[""multiple_transcriptions"", ""version_label_present_in_candidates""]","[""outer_whitespace""]",90a6dc68f04810b221b226ea0b92be09983e1e352fe9bc1c2157c2a8aada9c30,e8e90c1835c4f2d3a2f73bfa335751fdd0df36e8f2f9802159e37e63b278b6a5
song_6c8c4ef5c7313e1a7002f6ef957143fce93e43a58b39df36f059b8658b5d2254,Shannon,Henry Gross,1976-02-28,17990525,Shannon,Henry Gross,Billboard Hot 100 Singles 1976,233.053125,identity_high_confidence,text_usable_with_minor_noise,recoverable,Same song structure; limited word and spelling differences. Retain transcription uncertainty rather than forcing identical text.,"[""multiple_transcriptions""]","[""outer_whitespace""]",c08d1aa0a8b0407064fa0b7232fb1715733b6d11290be29efd4eef5eab769495,5a28d7b23a4a8824c65e7b32a15aefdad2e0e3e6fce3ee034e5cbaf768bfed10
song_733e4b6f3321d3f1f4506afc9ec8b748aa2f3f9a3a0759a41152cfdf8ed4aa37,The Life Of A Showgirl,Taylor Swift Featuring Sabrina Carpenter,2025-10-18,24710492,The Life of a Showgirl,Taylor Swift feat. Sabrina Carpenter,The Life of a Showgirl: Track by Track,242.0,identity_high_confidence,text_usable_with_minor_noise,recoverable,Full featured credit and same duration; choose existing text without Cyrillic lookalikes. Preserve the spoken outro; it is not stripped as metadata.,"[""multiple_transcriptions"", ""version_label_present_in_candidates""]","[""outer_whitespace""]",b6956b156646916f48d21cea680b0faac09307ba6bba1f4bf6e39d0ec3298a4f,a53df299bc473c1350ac1af6765fe81b6c8531f061c6b81326ab244ab25115af
song_75ba670a1f05a7df65285f30002021fa61165bc38583e9d54c0a15f3fce07d8f,Keep It Tight,Single Bullet Theory,1983-03-05,9326705,Keep It Tight,Devin The Dude,Seriously Trippin,290.0,identity_wrong,text_good,wrong_identity,"All cached candidate credits refer to other performers or other titles; none supports the Billboard asset. Text quality describes the inspected available record, not its suitability for this asset.","[""version_label_present_in_candidates""]","[""outer_whitespace""]",46e7386525db0ccc106c39a9a133571fdc1a0c776ce8d3ca9fe60f37bf4020d2,2cf1725e813f14dadeb13479e39ae7b12e60ba05fcf9bc96c1b412080ee9d89a
song_7c4f4c50d7777c82c189cd953b6dd6c26d71c78a42f957e31a7920721b630743,Where Are U Now,Skrillex & Diplo With Justin Bieber,2015-03-21,3667559,Where Are Ü Now,Skrillex & Diplo with Justin Bieber,Now That’s What I Call Music! 91 (disc 2),250.0,identity_high_confidence,text_usable_with_minor_noise,recoverable,Same song and full credit. Chopped vocal syllables and repetitions differ; these are not evidence of profanity censorship.,"[""multiple_transcriptions"", ""version_label_present_in_candidates"", ""repetition_or_backing_vocal_uncertainty""]","[""outer_whitespace""]",266c164bccb5e5b629da55ce50a777e2de0ac5afdfa28f6db6758a7c57f75435,3a57a06a0b85d3fd048f5d7a33ebd20b19035211beffca9434f95e31b406fe6b
song_7d9c13d4f5ba89a7d0a578bbc7bcedc25921c86c86c13f3c42145f23250c4620,My True Story,The Jive Five With Joe Rene And Orchestra,1961-07-03,33793763,My True Story,Jive Five / Joe Rene & Orchestra,Doo Wop Box [Disc 4] : 1959-1987,155.0,identity_high_confidence,text_usable_with_minor_noise,recoverable,Complete Jive Five and Joe Rene/Orchestra credit is present with slash/ampersand formatting and omitted initial article. Text agrees with other Jive Five records.,[],"[""outer_whitespace""]",87b791334563760309d77880cd34045685badc2c8a39a7f535679e0c8e54cb05,a998ad8fe1fd201ccd315143f095d146f42b74811b437c12ad68adfc41d1816a
song_7f6e853a233ec09c2aff52371fc9d208aff913584aae431760808f70377e33d0,Little Good-Byes,SHeDAISY,1999-05-08,1105091,Little Good-Byes,SHeDAISY,The Whole Shebang,201.0,identity_high_confidence,text_good,recoverable,"Same verses; contraction, spelling and ad-lib variation. Original album context retained.","[""multiple_transcriptions"", ""version_label_present_in_candidates""]","[""outer_whitespace""]",45efa6150eccc9f486510906ec5a81a6be9fcbef1cec921758ad14484a08831a,de98c0fd0d39d0176ff04586ee27719e18a224bdc4455c9b10c17db1fc426257
song_7f9af958c36d36cdeffcbff6363abd06a58638a9209f20eb3fc7dd16db0bd24d,Theme From Magnum P.i.,Mike Post,1982-02-06,14119422,"Theme from Magnum, P.I.",Mike Post,TV Land Presents Favorite TV Theme Songs,204.0,identity_high_confidence,text_missing,missing_text,Correct title/artist records consistently mark instrumental and provide no lyrics; retain identity success separately from missing text.,[],[],e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
song_80635b25fda6dffda25be708545b04d6d561bbeef5e4fe6132aec116b23614bd,Popcorn,Hot Butter,1972-07-08,34475104,Popcorn,Hot Butter,The Best of Soundtrack - RETRO 2,156.0,identity_high_confidence,text_missing,missing_text,Correct title/artist records consistently mark instrumental and provide no lyrics; retain identity success separately from missing text.,[],[],e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
song_8120e71930798044a923d46b38051a7abebc3ea5ccfb03136af64de19c257602,Let's Get It Up,AC/DC,1982-01-16,18142881,Lets Get It Up,AC/DC,Family Jewels,232.129417,identity_high_confidence,text_usable_with_minor_noise,recoverable,Same substantive lyric sequence; alternative has spelling errors and live-album context. No automatic live-record substitution.,"[""multiple_transcriptions"", ""version_label_present_in_candidates""]","[""outer_whitespace""]",9e7f5f4e0b76680f410eede185b440be165be27405f1a651ac846308cd62326c,be6f9584ba6e82550870486332497f98ea7bf3aba7e5109678d01114b521c84f
song_86d033ae46a9c9191f1d3536dd1bcce0198eb029169721450d57d5e920f3bb47,Time,Hootie & The Blowfish,1995-11-11,19646002,Time,Hootie & the Blowfish,The Best of Hootie & the Blowfish: 1993 thru 2003,293.6973824,identity_high_confidence,text_usable_with_minor_noise,recoverable,Same substantive verses; contractions and small repeated-word differences are minor noise.,"[""multiple_transcriptions"", ""version_label_present_in_candidates""]","[""outer_whitespace""]",11b4179d75f978a55d68423278a12514af575b48bc3999dc91095d743f87556c,cb38ff09d4bf289dab3cf9627b2da0ab5aa9f8ff13b8ad1c7cc655ec9425de77
song_8b3d2a83cce4e9fdd1cd28e6e40c91d451c056ff95d3e3a3343518dd8cbd0a79,"Who's Johnny (""Short Circuit"" Theme)",El DeBarge,1986-04-26,7357443,Who's Johnny (Short Circuit Theme),El DeBarge,CHUM 1986,248.0,identity_high_confidence,text_good,recoverable,"Only contraction, vocalization and word-boundary differences; identical title, artist and duration.","[""multiple_transcriptions""]","[""outer_whitespace""]",fec33322fcda495be45b942946964e7fe84822764df2e0282819c48042b395f8,5eac95e8116fcaeddcef65d57bcfd97925a23124fc74c8606d6052276865d2a3
song_8dc62605a85ffa1d9fae315f731f798276f0a954dbc255fe6d9750cd6a1be645,Our Lips Are Sealed,Go-Go's,1981-08-29,18446959,Our Lips Are Sealed,Go-Go's,Beauty And The Beat LP,165.903673,identity_high_confidence,text_usable_with_minor_noise,recoverable,"Unique verses and bridge are present; the ellipsis abbreviates a final reprise. Minor repetition uncertainty, not loss of the main substantive content.","[""repetition_or_backing_vocal_uncertainty""]","[""outer_whitespace""]",cdd1c4d74852c13c4dab8659cdf997185433d7b136a170a19994ac2f8f234fb7,b2991898145862e5f9e6dd9bd02260b0335970c0705e368bdb319b94c53978f5
song_90563df1949ca1abc5bbb8a2d94ea3588b5cbdf22f1fd503bf9022754df6f3fc,All About My Girl,Jimmy McGriff,1963-01-05,4680973,All About My Girl,Jimmy McGriff,Best of Jimmy McGriff,236.0,identity_high_confidence,text_missing,missing_text,Correct title/artist records consistently mark instrumental and provide no lyrics; retain identity success separately from missing text.,[],[],e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
song_9236011f681000748404155e675fd22684d11d700d20e44f3b232c2c5e0ac92d,MJB Da MVP,Mary J. Blige Featuring The Game & 50 Cent,2005-04-30,34902212,MJB Da MVP,"Mary J. Blige, 50 Cent",Reflections - A Retrospective,251.0,identity_ambiguous,text_usable_with_minor_noise,identity_ambiguous,"Some records name 50 Cent, none establish the full Game credit; texts vary substantially in length and guest participation remains unresolved.",[],"[""outer_whitespace""]",83ac0a66d5750eb78c4269c2a24c2766ec01281ace83979bd18eb9399a8496f6,38663365db8298c01fc2010aa07af9d004c8f4a6748789ece565fab985c6ae5b
song_93a879908132f659283549dd5d71958dc008d9a4669acc394eb19915fe2a5b89,Come Over,Kenny Chesney,2012-06-02,1738253,Come Over,Kenny Chesney,Welcome to the Fishbowl,248.0,identity_high_confidence,text_good,recoverable,Same complete substantive verses; repeated backing phrases and ending vocalizations differ.,"[""multiple_transcriptions""]","[""outer_whitespace""]",48649f5a21f3714f9da36438153f53ff1c0dfc7590de50db6742b1afd7ac7e47,d1db328a1159b7f37b289f9abe164b66667ca47b4792ef51bf7f69690d9dc4b5
song_96a824795fbd3e6d71280446ab40c66fbaa36b8591aeb420d87d913eb9083daa,Spin That Wheel,Hi Tek 3 Featuring Ya Kid K,1990-04-14,3174139,Spin That Wheel,Hi Tek f-Ya Kid K,1990 Hot 100,361.0,identity_high_confidence,text_usable_with_minor_noise,recoverable,Source credit explicitly names Ya Kid K but abbreviates Hi Tek 3; other Hi Tek 3 records share substantive text and the lyrics identify Ya Kid K. Explicit reviewed crosswalk only.,[],"[""outer_whitespace""]",54957e20a049fad9dadf816c2638f034be42685cb531a72eef32cf211d19d3ae,d80468f665f568cd644cf9dc5d736ea94f66da2432b36ca8a9e2b0dbf0c58e08
song_987ddcc85a12cc5e3a35dc90033183e3c366ca6bb9b4406de44f6e0fbfbabed1,Midnight Train To Georgia,Gladys Knight And The Pips,1973-09-01,17831867,Midnight Train To Georgia,Gladys Knight And The Pips,Capital Gold Legends - Disk 1,280.816327,identity_high_confidence,text_usable_with_minor_noise,recoverable,"Core verses and narrative agree; differences concentrate in backing-vocal dialogue, transcription and repeated ending. Retain repetition uncertainty.","[""multiple_transcriptions"", ""repetition_or_backing_vocal_uncertainty""]","[""outer_whitespace""]",c5c5a5c2d87306ce3e8c019ee170be6907c03443c6892a9e69f8623db7495c17,485281b8b06f60e5df26cd75ebbe0aea83a54d7907558e4506fd07eb98fdeea3
song_98db8d85b7446d09ab303887e18e395278ac921185c2766c172d5236b843aabb,Gato de Noche,Nengo Flow & Bad Bunny,2023-01-07,5684907,Gato de Noche,Ñengo Flow & Bad Bunny,RealG4Life Vol. 4,227.0,identity_high_confidence,text_usable_with_minor_noise,recoverable,"Full artist credit including accent variation; Spanish contractions, spelling and ad-libs vary while substantive sections agree. Preserve transcription uncertainty.","[""multiple_transcriptions"", ""version_label_present_in_candidates""]","[""outer_whitespace""]",712292c12ae943800ebc5ab2efda1ccdf15eee0fc836ded39ded98f9aaeb1406,43cb3b7b94cfd269da3762ce49234567572af8ac919dfa08d38d0e3c6c8e2559
song_9a679d8c1bd551daece187a4fa21420b52a9f9279e34406e57142dac00281c5d,Steady Mobbin',Young Money Featuring Gucci Mane,2010-01-09,35084721,Steady Mobbin,"Young Money, Lil Wayne, Gucci Mane",We Are Young Money,310.0,identity_high_confidence,text_usable_with_minor_noise,recoverable,"The 310-second record has the full group/guest credit plus Lil Wayne, matches available duration/album evidence, and its text is identical to the 165-second full-credit record. Select the existing duration-supported text; no canonical recording requirement.","[""source_duration_anomaly""]","[""outer_whitespace""]",8ad53baef1a767b305f5ec8de8961760008e43db4a8b630a891af863a0ccedb9,8a521f3b4d3cb26f9080a14a69cc4acc7883989ef11a3f56c7a90415b13ec49c
song_9bc40a56b63b6b61c7cb831bc7e154ce190d3185150348f318a280cfd30bf99b,Out Of Mind Out Of Sight,Models,1986-04-26,1728520,Out Of Mind Out Of Sight,Models,"Out Of Mind, Out Of Sight (35th Anniversary Edition)",217.0,identity_high_confidence,text_usable_with_minor_noise,recoverable,"Matching song, album and duration; limited transcription/ad-lib differences with intact core sections.","[""multiple_transcriptions""]","[""outer_whitespace""]",6eea119a38c7d239b47a444611171fa5eda5e461e64e1dda790e83c0e01d83d0,a8f40516b6d0736fa45facdfc4c2f97c26872b90e324adacba852058f636810e
song_9c593bfef628c5ef2a1604ebb9296d227a8e7d4816e4b9791eb23586b1111c37,Sitting Home,Total,1999-04-10,1858723,Sitting Home,Total,"Kima, Keisha & Pam [International Version (Explicit)]",255.0,identity_high_confidence,text_usable_with_minor_noise,recoverable,"Same verses with differing ad-libs/refrain repetition. Explicit album label is a warning, not an automatic text rejection.","[""multiple_transcriptions"", ""version_label_present_in_candidates""]","[""outer_whitespace""]",80a7c3fa5c23d18f9ef09063d9573a3c09834bb37246b94aab6313cbfd27ab3f,e4344bda8e7155be0490a065c3a1f0a8324b215e44e74327fc5dd7e9c86bbd09
song_9deb80b4c8f23fdff3e526f3ddb663fb61b505a09e80105ef266c92a9f1798ba,Still,John Schneider,1981-09-26,18904205,Still still still,Unheilig,Frohes Fest,224.025,identity_wrong,text_good,wrong_identity,"All cached candidate credits refer to other performers or other titles; none supports the Billboard asset. Text quality describes the inspected available record, not its suitability for this asset.",[],"[""outer_whitespace""]",d018cd129316e1e63056e3e3f26564ce3fae105c7e16a2aa5d1bf44674e5f73c,1e94f4eae632d94230e71194d1d125ea1ffaa7e72ca976c7ac4864f91ff672cb
