song_id,title,artist,expected,automatic,selected,reviewed_candidate,reason,false_accept
song_223bdd9208aaf732d9776aab6250a76188ade3ef6030f9f4ea9129c1e5d3dbf8,Hard Rock Cafe,Carole King,accepted,accepted,1234883,1234883,Full title/credit agreement; no material text conflict or detected quality defect,False
song_240fee05a3f72682d6490e6891f9c99c16750f0a7f4a844cef4080fa9ba66f06,For A Dancer,Prelude,accepted,accepted,31196217,31196217,Full title/credit agreement; no material text conflict or detected quality defect,False
song_254f16d75a26c8afac7006e26c3bc787e4e0094572738de69f2d04eb478db41f,Love Like This,Faith Evans,accepted,accepted,33412425,33412425,Full title/credit agreement; no material text conflict or detected quality defect,False
song_26912991c4f7a66f29c4b3f1b72f5621be6abc945a1a10370498383d74e3ec60,Say A',A Boogie Wit da Hoodie,accepted,accepted,6404699,176965,Full title/credit agreement; no material text conflict or detected quality defect,False
song_274e336d94b84a777682f759b80d464f299823e3307dca2b94aa4f12d2cbeaa7,When You're Mad,Ne-Yo,accepted,accepted,33433452,33433452,Full title/credit agreement; no material text conflict or detected quality defect,False
song_29adf8b0d156107db26d64141e7f6ca5b8a3f0573ff5dc0238875f89d0f241dc,From A Table Away,Sunny Sweeney,accepted,accepted,1005872,1005872,Full title/credit agreement; no material text conflict or detected quality defect,False
song_2d2161d2ef1d036dfeb81c835c92634c7eaa62f0fb34f9850a2dd190003bd3ec,Light Up The World With Sunshine,"Hamilton, Joe Frank & Dennison",not_found,not_found,,,No LRCLIB candidates,False
song_2d75b361651516de2d09b8f56b4caeb02c935a2f903e86f328b4973cebc4b2b1,Baciare Baciare (Kissing Kissing),Dorothy Collins,not_found,not_found,,,No LRCLIB candidates,False
song_2d92c0b7f60d0b9c59a52253e11d4f5c9bd4dcf50eafd53807cd1c028ca596a7,"Touch A Hand, Make A Friend",The Staple Singers,accepted,accepted,1285919,1285919,Full title/credit agreement; no material text conflict or detected quality defect,False
song_2e09f5946fa6708c0f8a2c98f413c5158f8debb0ae907d7c99395bfe89a0bc12,Refugee,Tom Petty And The Heartbreakers,accepted,accepted,33398858,33398858,Full title/credit agreement; no material text conflict or detected quality defect,False
song_2e49760b20ceda10ee2e0d142f2b5e954ef7344bdc7b95d7b595b372d03098eb,The Deeper The Love,Whitesnake,accepted,accepted,18405661,18405661,Full title/credit agreement; no material text conflict or detected quality defect,False
song_2e66f717d7d0fffa532daaf732d905c25ce32eb367f35d2aed0f50714f6212b7,Next Plane To London,The Rose Garden,accepted,accepted,3171757,3171757,Full title/credit agreement; no material text conflict or detected quality defect,False
song_2ed3df6d228464abd49b03e3c98c845d9d6605b0f193a17dba8ac8483aca9df6,Bubble Butt,"Major Lazer Featuring Bruno Mars, Tyga & Mystic",accepted,accepted,17533553,17533553,Full title/credit agreement; no material text conflict or detected quality defect,False
song_2ed53c67ce66f5371c151199018a1d5c8ff414215993a8d6ddd553906a8cec7e,Take Care,Rod Wave,wrong_identity,wrong_identity,,34363762,No full compatible title and artist credit,False
song_3198dafc7e0281d3c9ea50fcd1fe571866ef05aa8048cdc41d88c4d9631e9a01,X,Jonas Brothers Featuring Karol G,wrong_identity,wrong_identity,,4091841,No full compatible title and artist credit,False
song_3374cb55fc04ab81b1afa517fe2b796238fe28338b37f8a82a8e6237ad4f6615,Raindrops Keep Fallin' On My Head,B.J. Thomas,accepted,accepted,34611080,34611080,Full title/credit agreement; no material text conflict or detected quality defect,False
song_341cb28a6ab09001d49777b54e8731098ce839936771c0ec02e8e94e4e968107,I'm A Flirt,R. Kelly Or Bow Wow (Featuring T.I. & T-Pain),quarantined,quarantined,,3736196,No full compatible title and artist credit,False
song_394079799ccc3ed5df284d1585669c358815095112d25a2146fac2a61ed2ee18,Can't Knock The Hustle,JAY-Z,accepted,accepted,18738633,18738633,Full title/credit agreement; no material text conflict or detected quality defect,False
song_3972d9f912a9d4ac06d1f8730798459754507eda9d09bfedf546fc15b3667f15,When I Grow Too Old To Dream,Ed Townsend,wrong_identity,wrong_identity,,18548210,No full compatible title and artist credit,False
song_3a4515be007339de722f0d7970beade124515f201ef9cb003e073dde93032c32,Flooded The Face,Lil Uzi Vert,accepted,accepted,2599893,9234958,Full title/credit agreement; no material text conflict or detected quality defect,False
song_3c8a174aa3fc036df599ee3e5e14413bef61736c743f32a65c9aba88eba6149f,Seal Our Fate,Gloria Estefan,accepted,accepted,1433937,1433937,Full title/credit agreement; no material text conflict or detected quality defect,False
song_3c8a299a85f32decffa991b3537a28a0b8c8104cdf32de205e158ac2ee6c67bc,The Wonder Of You/Mama Liked The Roses,Elvis Presley,not_found,not_found,,,No LRCLIB candidates,False
song_3e1939d81e777c0626cf2bcc306be6a30d1b7063c5823971b003401cb874cca8,Roller Coaster,Justin Bieber,accepted,accepted,549197,549197,Full title/credit agreement; no material text conflict or detected quality defect,False
song_3e4762cf7697650d1a02209f89cfe240ee6200781d8c018867490b1edae5aed8,Levii's Jeans,Beyonce & Post Malone,accepted,accepted,7652690,7652690,Full title/credit agreement; no material text conflict or detected quality defect,False
song_3fca2bbd0e810e6df6f6091a56c9b00785fa13ab6bad213655791018a5d698c0,Wreckage,Nate Smith,accepted,accepted,4207126,970558,Full title/credit agreement; no material text conflict or detected quality defect,False
song_4041f3df5d6e06350ce6b85ba000aef59373d32f0ef2b7423d20ebc53157cfbb,Control,Puddle Of Mudd,accepted,accepted,33429981,33624134,Full title/credit agreement; no material text conflict or detected quality defect,False
song_4195a0fafa2a3493431f9b85bf72524d0a808a7813d989924016ef7b1cac277b,You Look Like I Need A Drink,Justin Moore,accepted,accepted,12919,12919,Full title/credit agreement; no material text conflict or detected quality defect,False
song_4396d766183dc70988461417a65cd6d20f3541094380ad1eb4fe01fc7190c6e2,I Will Remember You,Amy Grant,accepted,accepted,17768455,1104013,Full title/credit agreement; no material text conflict or detected quality defect,False
song_439dda9370eb21f7c8ba889768fc6344885fea49645c1be1847815f300d04a3c,Bad Liar,Imagine Dragons,accepted,accepted,33415655,33415655,Full title/credit agreement; no material text conflict or detected quality defect,False
song_448ff89aa8bba475de4f3070a54f649096dd2f6d289234208f3c317eaeb68711,African Waltz,Cannonball Adderley Orchestra,wrong_identity,wrong_identity,,1640532,No full compatible title and artist credit,False
song_46547fed6821a1f52a012c9dcd147dbf036c439f20d5a66f1230a9195386e3f7,Oh Me Oh My (I'm A Fool For You Baby),Lulu,accepted,accepted,1847905,1847905,Full title/credit agreement; no material text conflict or detected quality defect,False
song_47a78322ddd54652441ca4969c6b43dc0ec2ac5ac216ef4adc93c7c5363bb5ef,There Will Come A Day (I'm Gonna Happen To You),Smokey Robinson,accepted,accepted,1860463,1860463,Full title/credit agreement; no material text conflict or detected quality defect,False
song_49106773e205023d8315ee5d5ad066a1abb103c5abf49907c20a04e6cd0e2749,Mama's Song,Carrie Underwood,accepted,accepted,8322,8322,Full title/credit agreement; no material text conflict or detected quality defect,False
song_4b6a93c6bf5bdc694cb4dbdbfe09c9b21eb12856b7421ff63049d8af95e2f63d,Satisfy Me,Billy Satellite,accepted,accepted,2573229,2573229,Full title/credit agreement; no material text conflict or detected quality defect,False
song_4bd005f70ab7bd0f1c25849f8f4f8fa5f40db9b882900fa1f6eeee9e261aaaa6,Not Like The Movies,Katy Perry,accepted,accepted,699105,699105,Full title/credit agreement; no material text conflict or detected quality defect,False
song_4c9198f1714a52e8c38fa37df272a239d963bed9e0c7e78d7ce782beee8247fd,A-O-K,Tai Verdes,accepted,accepted,946648,946648,Full title/credit agreement; no material text conflict or detected quality defect,False
song_4c96473f1a63f509785606cd479a27c4dbc4f9ab4a3042e4a1a70afb685fe05e,You Raise Me Up,Josh Groban,accepted,accepted,18359173,18359173,Full title/credit agreement; no material text conflict or detected quality defect,False
song_4d0c1833e40e16f59c30424abad9a3a6158a0a7cceca3975035c8ebe11201c28,Hey Daddy (Daddy's Home),Usher Featuring Plies,accepted,accepted,12862024,12862024,Full title/credit agreement; no material text conflict or detected quality defect,False
song_4e557de424395f9a43ae3543170c4abb1eb4873e258e57a7883917493a58926a,Then You Can Tell Me Goodbye,The Casinos,accepted,accepted,34029223,34029223,Full title/credit agreement; no material text conflict or detected quality defect,False
song_50d0beb9ab14b696da4c70143987bc2c2500bd60e2ec3b860d4a0048ffaf1a8e,Game's Pain,The Game Featuring Keyshia Cole,accepted,accepted,1685895,1685895,Full title/credit agreement; no material text conflict or detected quality defect,False
song_519b240b455be64da13e6a06614e81c3d1bd12ceaed24180c073d07c10417059,Need Your Loving Tonight,Queen,accepted,accepted,18554804,33614452,Full title/credit agreement; no material text conflict or detected quality defect,False
song_526742d65f2140d181b076bfc466efd4fe4fa979991d21f5a528c2d4020483ff,In My Life,Juvenile Featuring Mannie Fresh,wrong_identity,wrong_identity,,36986270,No full compatible title and artist credit,False
song_533cafe21ce5ee3471d2f10dd40e6b2dd2c3d59ffb2a55326cd082eed3661ac0,When You Wish Upon A Star,Dion & The Belmonts,accepted,accepted,1488391,1488391,Full title/credit agreement; no material text conflict or detected quality defect,False
song_54afca91d38df8af7654d700f05cd242951a231d8769f712d1e919b8007bec46,Tossin' And Turnin',Bobby Lewis,accepted,accepted,33435740,33435740,Full title/credit agreement; no material text conflict or detected quality defect,False
song_54df6e78473f26aafcbff54dc4d9aa78ed13311304866036467d43797859bea7,Lolli Lolli (Pop That Body),"Three 6 Mafia Featuring Project Pat, Young D & Superpower",accepted,accepted,26456222,26456222,Full title/credit agreement; no material text conflict or detected quality defect,False
song_579e1963454da92aa1066c4132d3796fb43de97bbd4552081f4c3a19fe2a54de,How Do You Sleep At Night,Wade Hayes,accepted,accepted,1846562,1846562,Full title/credit agreement; no material text conflict or detected quality defect,False
song_580d000857f2ecec0a14482cacae7c8c4bcd46154422a05da7ddbf2a11cdcf45,Sippin' On Fire,Florida Georgia Line,accepted,accepted,10182,10182,Full title/credit agreement; no material text conflict or detected quality defect,False
song_5863bb4a6eb0d37ac60397e9e9f4a083117da8f69159fca235a023a426af6c68,Easy Driver,Kenny Loggins,accepted,accepted,1182902,1182902,Full title/credit agreement; no material text conflict or detected quality defect,False
song_5aa56fb803f5549454b9da7e4d11b0d75aba85b3728b5c6f2070c623995b7b1f,Clean (Taylor's Version),Taylor Swift,accepted,accepted,4030563,4030563,Full title/credit agreement; no material text conflict or detected quality defect,False
song_5af853e1abe5fd71bf1fbfa6a8a056605160be58a35d37b4814674fc7ca68b82,Someone,Johnny Mathis,accepted,accepted,1840455,1840455,Full title/credit agreement; no material text conflict or detected quality defect,False
song_5bd250a6dfb4bffd1febde2adbfeaa11b9c8ff88409749607e15731a4730ffe1,Red Hot,Herb Alpert,wrong_identity,wrong_identity,,33545410,No full compatible title and artist credit,False
song_65622dabee19dc089fca4d6ea3c98c0066b7a88aa50f1d9afbea3ba2b5bc148e,Still Runnin,"Lil Baby, Lil Durk & Meek Mill",accepted,accepted,2501502,2501502,Full title/credit agreement; no material text conflict or detected quality defect,False
song_66f138c818639ef65725307825cbb353b308ea4330cd167b8f2fac443bd92b52,New Frontier,Donald Fagen,accepted,accepted,17965200,17965200,Full title/credit agreement; no material text conflict or detected quality defect,False
song_6759fea92214513ed6bcb33ee779f29c91d16940fd3574a24fc5d474062f9941,Hot In The City,Billy Idol,accepted,accepted,33364602,33364602,Full title/credit agreement; no material text conflict or detected quality defect,False
song_679a148744989c7120462e7148b7481024272ef3f47e1969f228d895696aba81,The Only Exception,Paramore,accepted,accepted,33573480,33573480,Full title/credit agreement; no material text conflict or detected quality defect,False
song_67f806630c66ef02ffd6d60242a5eff8a1ddb62e14a6259cd0acec349f1c4420,In My Room,Julia Wolf,accepted,accepted,24598216,18921298,Full title/credit agreement; no material text conflict or detected quality defect,False
song_69ecf87c84184c264067f5d70b231d50de2bf9e655924f006e71eb110807a682,Prove It All Night,Bruce Springsteen,accepted,accepted,34415718,34415718,Full title/credit agreement; no material text conflict or detected quality defect,False
song_6b154caeaa88d669d17f401dc9c45b6b6f753e169352f442fd72839919a79d4a,"Santa, Can't You Hear Me",Kelly Clarkson & Ariana Grande,accepted,accepted,1734628,1734628,Full title/credit agreement; no material text conflict or detected quality defect,False
song_6bb14184c41cb9b83881802bf091c508126e91869dd08efa6dfd2bd7bd073b4d,Boyz Don't Cry,Rod Wave,accepted,accepted,3811275,3811275,Full title/credit agreement; no material text conflict or detected quality defect,False
song_6c8c4ef5c7313e1a7002f6ef957143fce93e43a58b39df36f059b8658b5d2254,Shannon,Henry Gross,accepted,accepted,19371747,17990525,Full title/credit agreement; no material text conflict or detected quality defect,False
song_6e57697b1eb935106abb5e9e13f54897d74f6c6aa847f4dc2a2275c87f246db7,I've Got The Music In Me,The Kiki Dee Band,accepted,accepted,1693178,1693178,Full title/credit agreement; no material text conflict or detected quality defect,False
song_6f0b23f8c0ab9d0af1f43dac27b2e6448024522b09f8bec1aa8d62bf5dcb98dd,The Way I Am,Charlie Puth,accepted,accepted,516992,516992,Full title/credit agreement; no material text conflict or detected quality defect,False
song_70189f4f4c9fabe9dc3bc4831d91c04acf0f8124ada94212adb45c63f3541eae,Fill Me In,Craig David,accepted,accepted,33369670,33369670,Full title/credit agreement; no material text conflict or detected quality defect,False
song_733e4b6f3321d3f1f4506afc9ec8b748aa2f3f9a3a0759a41152cfdf8ed4aa37,The Life Of A Showgirl,Taylor Swift Featuring Sabrina Carpenter,accepted,accepted,24710492,24710492,Full title/credit agreement; no material text conflict or detected quality defect,False
song_74ab51e902efd4c7d861f99a52e361a4df4c7eb4fe6c760dc93d646d0a340328,If I Lose Myself,OneRepublic,accepted,accepted,18425379,18425379,Full title/credit agreement; no material text conflict or detected quality defect,False
song_75ba670a1f05a7df65285f30002021fa61165bc38583e9d54c0a15f3fce07d8f,Keep It Tight,Single Bullet Theory,wrong_identity,wrong_identity,,9326705,No full compatible title and artist credit,False
song_7639ea9890cc2d2361946ce8a9a855f0c9ed64eb20e401e62a76c4cc4348c150,Kloufrens,Bad Bunny,accepted,accepted,16366269,16366269,Full title/credit agreement; no material text conflict or detected quality defect,False
song_7a3151c7382d5faec3e5fdcb46caf7b5176aa0eef4c28f224eb9f9765b46a159,Every Little Bit Hurts,Brenda Holloway,accepted,accepted,33434401,33434401,Full title/credit agreement; no material text conflict or detected quality defect,False
song_7c4f4c50d7777c82c189cd953b6dd6c26d71c78a42f957e31a7920721b630743,Where Are U Now,Skrillex & Diplo With Justin Bieber,accepted,quarantined,,3667559,Materially different plausible lyric texts,False
song_7d9c13d4f5ba89a7d0a578bbc7bcedc25921c86c86c13f3c42145f23250c4620,My True Story,The Jive Five With Joe Rene And Orchestra,accepted,quarantined,,33793763,No full compatible title and artist credit,False
song_7f6e853a233ec09c2aff52371fc9d208aff913584aae431760808f70377e33d0,Little Good-Byes,SHeDAISY,accepted,accepted,18532048,1105091,Full title/credit agreement; no material text conflict or detected quality defect,False
song_7f9af958c36d36cdeffcbff6363abd06a58638a9209f20eb3fc7dd16db0bd24d,Theme From Magnum P.i.,Mike Post,bad_missing_text,bad_missing_text,,14119422,Identity established; no usable text,False
song_801049852786e1e2bf2bf0da7423bdce3bc559f287130df2da2536891d4632e4,Over,Blake Shelton,accepted,accepted,9291,9291,Full title/credit agreement; no material text conflict or detected quality defect,False
song_80635b25fda6dffda25be708545b04d6d561bbeef5e4fe6132aec116b23614bd,Popcorn,Hot Butter,bad_missing_text,bad_missing_text,,34475104,Identity established; no usable text,False
song_8120e71930798044a923d46b38051a7abebc3ea5ccfb03136af64de19c257602,Let's Get It Up,AC/DC,accepted,accepted,18142881,18142881,Full title/credit agreement; no material text conflict or detected quality defect,False
song_830ebc84916df4408964c94cf74e12a8085fc4c218aec9cf5fb35d9790968f06,I Luv U Baby,The Original,accepted,accepted,33664646,33664646,Full title/credit agreement; no material text conflict or detected quality defect,False
song_8697de75d63ba5a6df5ad3cbc07c076a3564251209c1bb67095aa6d18470dc1f,Spin,Lifehouse,accepted,accepted,1746352,1746352,Full title/credit agreement; no material text conflict or detected quality defect,False
song_86d033ae46a9c9191f1d3536dd1bcce0198eb029169721450d57d5e920f3bb47,Time,Hootie & The Blowfish,accepted,accepted,17785610,19646002,Full title/credit agreement; no material text conflict or detected quality defect,False
song_8725b33ce48ece00aa3e036bda88c22c82fde22866861186c7530058463e1018,Sexual Healing,Marvin Gaye,accepted,accepted,36839533,36839533,Full title/credit agreement; no material text conflict or detected quality defect,False
song_8b3d2a83cce4e9fdd1cd28e6e40c91d451c056ff95d3e3a3343518dd8cbd0a79,"Who's Johnny (""Short Circuit"" Theme)",El DeBarge,accepted,accepted,7357443,7357443,Full title/credit agreement; no material text conflict or detected quality defect,False
song_8d6f7496309844f567c5c24fc3d22033c0c33ef7819382e7006b5cf2fbd2ce03,Miss Me Blind,Culture Club,accepted,accepted,18540534,18540534,Full title/credit agreement; no material text conflict or detected quality defect,False
song_8dc62605a85ffa1d9fae315f731f798276f0a954dbc255fe6d9750cd6a1be645,Our Lips Are Sealed,Go-Go's,accepted,accepted,18446959,18446959,Full title/credit agreement; no material text conflict or detected quality defect,False
song_90563df1949ca1abc5bbb8a2d94ea3588b5cbdf22f1fd503bf9022754df6f3fc,All About My Girl,Jimmy McGriff,bad_missing_text,bad_missing_text,,4680973,Identity established; no usable text,False
song_912793719ed869b7cefca9a8104e9ff0d6b96a0b62e9583ae93dced2097a56a6,Use Me,Bill Withers,accepted,accepted,33518126,33518126,Full title/credit agreement; no material text conflict or detected quality defect,False
song_912b9c51e3e80c10349fd8989ed7099637052317e5d8ab0010f46744a4aab720,Letitgo,Prince,accepted,accepted,497982,497982,Full title/credit agreement; no material text conflict or detected quality defect,False
song_9137f87bf8727c435536f6240769e50bafda9c52950940d93d16245b405a42a0,Poison,Bell Biv DeVoe,accepted,accepted,33370437,33370437,Full title/credit agreement; no material text conflict or detected quality defect,False
song_9236011f681000748404155e675fd22684d11d700d20e44f3b232c2c5e0ac92d,MJB Da MVP,Mary J. Blige Featuring The Game & 50 Cent,quarantined,quarantined,,34902212,No full compatible title and artist credit,False
song_93a879908132f659283549dd5d71958dc008d9a4669acc394eb19915fe2a5b89,Come Over,Kenny Chesney,accepted,accepted,1738253,1738253,Full title/credit agreement; no material text conflict or detected quality defect,False
song_94a64c67951b83f3e252081b120ac2c1a546a2984434cbcfbd04c461826d682a,Party To Damascus,Wyclef Jean Featuring Missy Elliott,accepted,accepted,9730919,9730919,Full title/credit agreement; no material text conflict or detected quality defect,False
song_96a824795fbd3e6d71280446ab40c66fbaa36b8591aeb420d87d913eb9083daa,Spin That Wheel,Hi Tek 3 Featuring Ya Kid K,accepted,quarantined,,3174139,No full compatible title and artist credit,False
song_97c70f6bbd65d862b8230aebfb2d0957139d3b84fa866741bfe56e9a92f52056,Shaddap You Face,Joe Dolce,accepted,accepted,17414671,17414671,Full title/credit agreement; no material text conflict or detected quality defect,False
song_987ddcc85a12cc5e3a35dc90033183e3c366ca6bb9b4406de44f6e0fbfbabed1,Midnight Train To Georgia,Gladys Knight And The Pips,accepted,quarantined,,17831867,Materially different plausible lyric texts,False
song_98db8d85b7446d09ab303887e18e395278ac921185c2766c172d5236b843aabb,Gato de Noche,Nengo Flow & Bad Bunny,accepted,quarantined,,5684907,Materially different plausible lyric texts,False
song_9a679d8c1bd551daece187a4fa21420b52a9f9279e34406e57142dac00281c5d,Steady Mobbin',Young Money Featuring Gucci Mane,accepted,quarantined,,35084721,All safe candidates conflict with available durations,False
song_9bc40a56b63b6b61c7cb831bc7e154ce190d3185150348f318a280cfd30bf99b,Out Of Mind Out Of Sight,Models,accepted,accepted,1728520,1728520,Full title/credit agreement; no material text conflict or detected quality defect,False
song_9c0be50c5e07f7f57440fdffc6c7383810f9fede2832491e2b28d697e8c1578c,Sixteen,Thomas Rhett,accepted,accepted,10197,10197,Full title/credit agreement; no material text conflict or detected quality defect,False
song_9c593bfef628c5ef2a1604ebb9296d227a8e7d4816e4b9791eb23586b1111c37,Sitting Home,Total,accepted,quarantined,,1858723,Materially different plausible lyric texts,False
song_9deb80b4c8f23fdff3e526f3ddb663fb61b505a09e80105ef266c92a9f1798ba,Still,John Schneider,wrong_identity,wrong_identity,,18904205,No full compatible title and artist credit,False
song_9f075418a643673281676d808680d7eedcdc254dfca78674e4676e7cb0f01956,Funk Boutique,The Cover Girls,accepted,accepted,5933036,5933036,Full title/credit agreement; no material text conflict or detected quality defect,False
song_9f71210a4ca5d734087e52061e6f2ee34319afc4e639e9b35336bdc710a75df5,Do You Remember,Jay Sean Featuring Sean Paul & Lil Jon,accepted,accepted,12562478,12562478,Full title/credit agreement; no material text conflict or detected quality defect,False
song_a1e7483c257a87c69a31d2a09f8c27241822f2d22a709db78e6c65fc25bcd397,"Theme From Mission: Impossible (From ""Mission: Impossible"")",Adam Clayton & Larry Mullen,wrong_identity,wrong_identity,,11621880,No full compatible title and artist credit,False
song_a2433b00ccafef53498b6d1f951c92be72089c1cfd6a1b9a4038ac498c45591e,If You Were A Rock And Roll Record,Freddy Cannon,accepted,accepted,10899074,10899074,Full title/credit agreement; no material text conflict or detected quality defect,False
song_a681d68f2c588a42f099fb282541ff306b1068ca8ad955462054f98b0b567149,Montero (Call Me By Your Name),Lil Nas X,accepted,accepted,33419850,33419850,Full title/credit agreement; no material text conflict or detected quality defect,False
song_ab62e36d4d04cc57df1cb4086822cb2997359958c35c41e32892cf5d81ea2370,Sweet Thing,Mick Jagger,accepted,quarantined,,17380847,Materially different plausible lyric texts,False
song_ab80535807e6d70626bb315b6acbdf10a776c4a86f6c1f75237835be20f43f36,This,Darius Rucker,accepted,accepted,7324975,1485285,Full title/credit agreement; no material text conflict or detected quality defect,False
song_ac3d7ed79247e11a3d7e8c95bd606af94b2c39ab578a57f259a5f89f0f181104,Lonely Night (angel Face),Captain & Tennille,accepted,accepted,4954469,4954469,Full title/credit agreement; no material text conflict or detected quality defect,False
song_af1f2e2539453f493fdcd9da2eba0780ece27544eefb3621b8e70d4063d1274a,Swingin' School,Bobby Rydell,accepted,accepted,3112426,3112426,Full title/credit agreement; no material text conflict or detected quality defect,False
song_af260cef2d3a9827d77b29eaa6bd08bf97ad4a271b17308136c8cea24830c0e6,Peter Piper,Frank Mills,wrong_identity,wrong_identity,,18599355,No full compatible title and artist credit,False
song_af4803fb43d5ab5674ef905018bc9bfaf1793ee6090da8d4378f2ad04c57c0d9,Spin Bout U,Drake & 21 Savage,accepted,accepted,965346,1148831,Full title/credit agreement; no material text conflict or detected quality defect,False
song_b0e65be90edc7a0628b8174a5bfaaf38152c787a8cdbf0d6ff8e564b34ae1a8b,Agora Hills,Doja Cat,accepted,accepted,19141421,23573766,Full title/credit agreement; no material text conflict or detected quality defect,False
song_b1a09409b8c1de23d7df8dc080706b8d6f14b2d1b0bb37eb018f13747abf854b,Chickens,Future Featuring EST Gee,accepted,accepted,2158838,2158838,Full title/credit agreement; no material text conflict or detected quality defect,False
song_b2e2cacde37a2ea528eedc9e97627b7a7698bbff9a243b4906b006fcdc7c09e2,At The End Of A Bar,Chris Young With Mitchell Tenpenny,accepted,accepted,11467844,11467844,Full title/credit agreement; no material text conflict or detected quality defect,False
