song_id,title,artist,period,first_chart_date,best_chart_rank,months_selected,word_count,lyrics_sha256,sample_component,sampling_cell,sexual_content_score,violence_score,explicit_language_score,substance_use_score,CSI,app_CSI,MCR,token_count,truncated,inference_seconds,inference_version,model_commit,model_sha256,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,detoxify_token_count,detoxify_input_tokens,detoxify_truncated,review_selection,lyriclens_judgment,detoxify_judgment,review_focus,note,evidence_scope
song_bfce50e15f1789f7ca376150665063761fdbef5af253e2d162514a8ae0316025,Lean On Me,Bill Withers,1970s,1972-04-22,1,4,270,517488f68fecd31ea303b48e5dc09e54b6dec6afe0945445289b1132f96ca1b5,expected_mild,sentinel,0.0060424599796533585,0.003588337218388915,0.04756518453359604,0.004199580755084753,1.5348890621680766,0.0,M-E,286,0,0.5975093329325318,lyriclens-evaluation-v1,71a40996c1021c62d12dc004cbafa3f1c5560162,d272696293bc75d5a82cca2e624800456f734f57382cd9472b5974993ef860cc,0.01312879379838705,2.325355490029324e-05,0.0023049740120768547,0.0002953324874397367,0.00103124906308949,0.0005590292857959867,0.000332835188601166,380,380,False,expected_mild,plausible,plausible,low-content agreement,Supportive content; both models stay low.,prior full-lyric read-through notes plus current scores/context diagnostics
song_cd492e6096df3dd73a9047f8aef5c25a526b7b1384aaafac4f4c0ce7c690f5d1,ABC,Jackson 5,1970s,1970-03-14,1,4,427,0df6752d4e03b0d94b71fd47709c87ae1f62d41686edd34b56e1d587078ef1c9,expected_mild,sentinel,0.7284404635429382,0.0011152597144246101,0.3137635886669159,0.0010205728467553854,26.108497119275853,11.422023177146912,M-T,458,0,0.6288229159545153,lyriclens-evaluation-v1,71a40996c1021c62d12dc004cbafa3f1c5560162,d272696293bc75d5a82cca2e624800456f734f57382cd9472b5974993ef860cc,0.008298140950500965,4.201290357741527e-05,0.0013396975118666887,0.0016378539148718119,0.001042220159433782,8.118411642499268e-05,0.0024983363691717386,720,512,True,expected_mild,questionable,plausible,sexual content and language,Courtship and dancing were overinterpreted by LyricLens; Detoxify low explicitness is more plausible for the retained text.,prior full-lyric read-through notes plus current scores/context diagnostics
song_f41a534741f51cde1d600b6ee480a6cec27c432d48b34b9d946bd8331f5d2a74,Rainbow Connection,Kermit (Jim Henson),1970s,1979-09-15,25,4,195,c1d5fa184a8663f1edfa9d361b355a812c70ac740c15689f5910f25caa8150f3,expected_mild,sentinel,0.01926778443157673,0.003369405400007963,0.001957823522388935,0.010502759367227554,0.8774443180300295,0.0,M-E,211,0,0.5983429159969091,lyriclens-evaluation-v1,71a40996c1021c62d12dc004cbafa3f1c5560162,d272696293bc75d5a82cca2e624800456f734f57382cd9472b5974993ef860cc,0.0007654669461771846,2.1819241737830453e-06,6.33265299256891e-05,0.00015192419232334942,0.00021149277745280415,1.7734693756210618e-05,3.421392466407269e-05,304,304,False,expected_mild,plausible,plausible,low-content agreement,Wonder and aspiration; low scores are plausible.,prior full-lyric read-through notes plus current scores/context diagnostics
song_f90b9bd84fe6f81a6e4f326cb0b6f4451a734bc2b6c6aad81544fd16972b8863,You'd Better Believe It,The Manhattans,1970s,1973-09-22,77,1,203,db0c5dce942a1b6ef7f0dcfc6d4cd24542fe1774f48165840f14784f26c51ff1,stratified_core,rank1_length1,0.061092641204595566,0.006064862012863159,0.02076861634850502,0.0006378769176080823,2.2140999120892957,0.0,M-E,237,0,0.6098949168808758,lyriclens-evaluation-v1,71a40996c1021c62d12dc004cbafa3f1c5560162,d272696293bc75d5a82cca2e624800456f734f57382cd9472b5974993ef860cc,0.01079817395657301,1.0955421203107107e-05,0.0013849560637027025,0.0002641633036546409,0.0032458121422678232,6.962819315958768e-05,0.00035798054886981845,341,341,False,period toxicity midpoint,plausible,plausible,low-content agreement,The inspected romantic reassurance context is consistent with low scores.,"targeted lyric context and full-text lexical audit; provisional, not exhaustive semantic annotation"
song_05be1f29e67911d8e269dbbba495ee25b92120a0aba32db094923f7adf2183b7,Are We Ourselves?,The Fixx,1980s,1984-08-18,15,4,135,5f676f570f4e80fc37b6829f69be6719808857161a27368334d1569f38fc5bf4,stratified_core,rank0_length0,0.0026399297639727592,0.0052664997056126595,0.0055099246092140675,0.027904991060495377,1.0330336284823716,0.0,M-E,141,0,0.6050019999966025,lyriclens-evaluation-v1,71a40996c1021c62d12dc004cbafa3f1c5560162,d272696293bc75d5a82cca2e624800456f734f57382cd9472b5974993ef860cc,0.0005348240956664085,1.283591359424463e-06,3.442978413659148e-05,6.549667159561068e-05,0.00015287981659639627,1.551954665046651e-05,1.410689492331585e-05,200,200,False,severe_toxicity minimum; threat minimum,plausible,plausible,low-content agreement,Reflective identity language is not identity attack; both models remain low.,"targeted lyric context and full-text lexical audit; provisional, not exhaustive semantic annotation"
song_0ae5f6cefc72dd648e4af242ede9fc3a429075b6a2fa40106e6966410ea88dc5,Super Freak (Part I),Rick James,1980s,1981-08-08,16,5,320,3310e1410814685aa1b4a016b1f959501a635777698f4cc64047642382e20561,expected_content,sentinel,0.9973880648612976,0.030352158471941948,0.13568449020385742,0.9966260194778442,54.00126832537353,49.70070421695709,M-AO,350,0,0.5973740830086172,lyriclens-evaluation-v1,71a40996c1021c62d12dc004cbafa3f1c5560162,d272696293bc75d5a82cca2e624800456f734f57382cd9472b5974993ef860cc,0.18152981996536255,0.0005204671761021018,0.040575526654720306,0.031264737248420715,0.03256144002079964,0.0006874717073515058,0.021737467497587204,528,512,True,expected_content,questionable,questionable,sexual content and substance,"LyricLens recognizes sexual suggestiveness but saturates substance on a brief wine reference. Detoxify sexual_explicit is low for the sexual theme, although it targets a narrower construct.",prior full-lyric read-through notes plus current scores/context diagnostics
song_1412311414a73f8a8432337045a7f785b4dab467abd618d008b2ae0948df2b24,The Voice,The Moody Blues,1980s,1981-08-08,15,4,340,c3e9036e09adee353d2fb23239719248a5f4c21960e04cae22e272ef77120a87,stratified_core,rank0_length2,0.009760149754583836,0.004467803053557873,0.007540689781308174,0.0028232168406248093,0.6147964857518673,0.0,M-E,366,0,0.5863126250915229,lyriclens-evaluation-v1,71a40996c1021c62d12dc004cbafa3f1c5560162,d272696293bc75d5a82cca2e624800456f734f57382cd9472b5974993ef860cc,0.019690465182065964,3.214107346138917e-05,0.0027971018571406603,0.00046262628166005015,0.0008963093277998269,0.00016568168939556926,0.0021520466543734074,491,491,False,period toxicity midpoint,plausible,plausible,low-content agreement,Inspected reflective imagery supports low content/toxicity scores.,"targeted lyric context and full-text lexical audit; provisional, not exhaustive semantic annotation"
song_8c9359eb2bcab6780ed3a7cdca143da09375324d2952065a07d7adb88bf11161,Foolish Heart,Steve Perry,1980s,1984-11-24,18,4,174,ab956efd346e8066610ccb4d9914b6578d8bf3b173e177655f925c6a54ad8690,stratified_core,rank0_length0,0.005034341011196375,0.007988020777702332,0.005475311074405909,0.004518037661910057,0.5753927631303668,0.0,M-E,190,0,0.5928013331722468,lyriclens-evaluation-v1,71a40996c1021c62d12dc004cbafa3f1c5560162,d272696293bc75d5a82cca2e624800456f734f57382cd9472b5974993ef860cc,0.9155669808387756,0.00011148829071316868,0.013382097706198692,0.0018532270332798362,0.8672122955322266,0.0001802002516342327,0.0006066455389373004,271,271,False,toxicity exceeds explicit_language_score; insult maximum,plausible,clearly_wrong,toxicity and insult,Address to the narrator's own heart is not interpersonal abuse. Detoxify toxicity .916 and insult .867 are clear construct errors for lyrical harmfulness; LyricLens stays low.,prior full-lyric read-through notes plus current scores/context diagnostics
song_b10199f4fcf60c75729c81ed97259c8e6aa9673cdcb93acdc6f4171e7cf8d945,What A Wonderful World,Louis Armstrong,1980s,1988-02-20,32,3,123,e728af2ca76a971563b9d859c6f7bb450627bad781cf460efe15745dbe20fea7,expected_mild,sentinel,0.009896484203636646,0.00761577719822526,0.002617967315018177,0.004784799180924892,0.6228756974451244,0.0,M-E,129,0,0.5865640831179917,lyriclens-evaluation-v1,71a40996c1021c62d12dc004cbafa3f1c5560162,d272696293bc75d5a82cca2e624800456f734f57382cd9472b5974993ef860cc,0.0018967973301187158,6.07186939305393e-06,7.554507465101779e-05,0.0005906518781557679,0.0004334899422246963,4.704956154455431e-05,6.883931200718507e-05,171,171,False,expected_mild,plausible,plausible,low-content agreement,"Affirming imagery; both low. Period reflects first chart appearance, not the recording release date.",prior full-lyric read-through notes plus current scores/context diagnostics
song_ce55a9b58d73f0eaccd32f2d0b15687e9ff76c2ac47b5977a2c0507e07f966cc,He's A Liar,Bee Gees,1980s,1981-09-26,30,2,287,d1df3456db7ff04ef49c3e37a4a145cc8dfeb1a69317bdfc2a25aba20a8c74a9,stratified_core,rank1_length1,0.023937424644827843,0.9905704259872437,0.0019396288553252816,0.4463725984096527,36.57050194742624,24.528521299362183,M-AO,317,0,0.617545000044629,lyriclens-evaluation-v1,71a40996c1021c62d12dc004cbafa3f1c5560162,d272696293bc75d5a82cca2e624800456f734f57382cd9472b5974993ef860cc,0.8688223958015442,0.00018559310410637408,0.017374899238348007,0.0022080042399466038,0.8076375126838684,0.0003111683181487024,0.0017333478899672627,399,399,False,toxicity exceeds explicit_language_score,questionable,plausible,violence versus insult,"Repeated accusation supports Detoxify insult, not equivalent physical violence. LyricLens violence near-one is not supported by the inspected context; toxicity still cannot be read as severity.","targeted lyric context and full-text lexical audit; provisional, not exhaustive semantic annotation"
song_e162690ceb18a23db578427f419ce7ba989a0b27499e2b403a37fe3ad800b82c,Who's That Girl,Eurythmics,1980s,1984-05-05,21,3,194,452ca70787376afcb53dd4a72e7b8ecbc25dfac1e58547d4d16e5e4e7e708211,stratified_core,rank0_length0,0.022892555221915245,0.0020753468852490187,0.02467094175517559,0.0015642346115782857,1.2800769618479535,0.0,M-E,201,0,0.6014997919555753,lyriclens-evaluation-v1,71a40996c1021c62d12dc004cbafa3f1c5560162,d272696293bc75d5a82cca2e624800456f734f57382cd9472b5974993ef860cc,0.07271552085876465,2.8911383196827956e-05,0.0019218259258195758,0.005942144896835089,0.042151857167482376,0.000103763333754614,0.002199516398832202,298,298,False,deterministic supplementary review,plausible,plausible,low-content agreement,Jealousy and relationship language can be negative without explicit content; low overlapping scores are plausible.,"targeted lyric context and full-text lexical audit; provisional, not exhaustive semantic annotation"
song_e850a0ebd5865cbcde0d7358f03fb5b1793e1d046b07f23d6f6f42c012be6355,Cry Just A Little,Paul Davis,1980s,1980-07-19,78,1,260,1550b4edd6c865de6f3a8277f6ad5dc3f8d936cb074ba5f76f7c9a424fe8f5b1,stratified_core,rank1_length1,0.05893915891647339,0.38186323642730713,0.0026977628003805876,0.0009665466495789587,11.111667619843502,0.0,M-E,278,0,0.5950980000197887,lyriclens-evaluation-v1,71a40996c1021c62d12dc004cbafa3f1c5560162,d272696293bc75d5a82cca2e624800456f734f57382cd9472b5974993ef860cc,0.8070418834686279,0.001271967776119709,0.029100894927978516,0.005590940359979868,0.03319590166211128,0.5534355640411377,0.001449488801881671,335,335,False,threat exceeds violence_score; threat maximum,questionable,clearly_wrong,violence and threat,Prior read-through identified figurative heartbreak. Detoxify threat .553 is an inappropriate literal-threat reading; LyricLens violence .382 is also questionable.,prior full-lyric read-through notes plus current scores/context diagnostics
song_179feb8a79929d69156bfaf7c8ed48a7d01d17db6762f40e1d540507cc4f76e6,Gin And Juice,Snoop Doggy Dogg,1990s,1994-01-29,8,5,611,91de81a8c96dfb3a9f7e59c48337c7869766e31704c97c08960861fd4ca830a9,expected_content,sentinel,0.9856747984886169,0.05327451601624489,0.9964368343353271,0.9980491399765015,75.83588222041726,74.00803864002228,M-AO,724,0,0.8321651250589639,lyriclens-evaluation-v1,71a40996c1021c62d12dc004cbafa3f1c5560162,d272696293bc75d5a82cca2e624800456f734f57382cd9472b5974993ef860cc,0.9885047078132629,0.18554958701133728,0.9612946510314941,0.45667776465415955,0.7806341648101807,0.005909645929932594,0.271351158618927,953,512,True,expected_content; severe_toxicity exceeds violence_score,plausible,questionable,"language, sexual content and toxicity",Both detect profanity. LyricLens additionally detects explicit sexual and substance references. Detoxify toxicity/identity_attack may mix slang and in-group address with hostility; sexual_explicit is much lower than LyricLens.,prior full-lyric read-through notes plus current scores/context diagnostics
song_9a299229172ef4247b522973a28a572e71a62970370c1d7d60113d13f53c10fe,Highwire,The Rolling Stones,1990s,1991-03-09,57,2,334,34b35e5584493469293cf2c71beec6d84307ec645748c7e5512aabadec72a302,stratified_core,rank1_length1,0.018143802881240845,0.999237060546875,0.26151761412620544,0.007248654495924711,32.15367830125615,24.96185302734375,M-AO,356,0,0.6047503750305623,lyriclens-evaluation-v1,71a40996c1021c62d12dc004cbafa3f1c5560162,d272696293bc75d5a82cca2e624800456f734f57382cd9472b5974993ef860cc,0.09778992086648941,0.00010213755740551278,0.008029734715819359,0.0027386422734707594,0.01481594517827034,0.0044709136709570885,0.0017844849498942494,472,472,False,violence_score exceeds severe_toxicity,plausible,plausible,violence versus threat,Specific weapons and antiwar narrative support LyricLens violence presence. Detoxify low threat is consistent with a different target; it would miss violent content if used as a substitute.,prior full-lyric read-through notes plus current scores/context diagnostics
song_a9824e4acd085fbd53e561a95b0a44b852833928c774ab7affba998ddfec95a6,Closer,Nine Inch Nails,1990s,1994-06-11,41,6,191,7358e388ec50d62a98dff15f2987b7f389927888d53b9bf7e4906549542b36d0,expected_content,sentinel,0.9992576241493225,0.0336122028529644,0.9823169112205505,0.04951094090938568,51.61744197830558,49.07872676849365,M-AO,209,0,0.6087895839009434,lyriclens-evaluation-v1,71a40996c1021c62d12dc004cbafa3f1c5560162,d272696293bc75d5a82cca2e624800456f734f57382cd9472b5974993ef860cc,0.9934130311012268,0.15551282465457916,0.9588292241096497,0.02119196206331253,0.5371612906455994,0.016002725809812546,0.8855344653129578,253,253,False,expected_content; severe_toxicity exceeds violence_score; sexual_explicit maximum,plausible,plausible,language and sexual content,Direct sexual/profane language is detected by both. High Detoxify toxicity does not establish interpersonal abuse or a severity scale.,prior full-lyric read-through notes plus current scores/context diagnostics
song_be18506dff183b6a8ee7e34e0063fde1d8f047a431bce1ad15210cd247070d71,No Scrubs,TLC,1990s,1999-02-20,1,7,586,4fbbe99b5fad58cc08f65a272f03ee53ea321adc274ab546e3f5fed321e06a4e,stratified_core,rank0_length2,0.9276513457298279,0.0014143086737021804,0.15365906059741974,0.00231275730766356,27.125936807715334,21.382567286491394,M-R,654,0,0.623019291087985,lyriclens-evaluation-v1,71a40996c1021c62d12dc004cbafa3f1c5560162,d272696293bc75d5a82cca2e624800456f734f57382cd9472b5974993ef860cc,0.7091788053512573,0.0020808428525924683,0.3815693259239197,0.004892866592854261,0.23583829402923584,0.0010551090817898512,0.24291928112506866,804,512,True,obscene exceeds explicit_language_score,questionable,questionable,"sexual content, obscene and insult",Derisive relationship evaluation supports some insult. LyricLens near-one sexual content and Detoxify moderate obscene/sexual_explicit may overread colloquial rejection; retained text is not strongly profane in the audit.,"targeted lyric context and full-text lexical audit; provisional, not exhaustive semantic annotation"
song_ddd4c1911d61ba872c932e1ebf7bab492d51ca29e94feea236ab5efa08127983,I Miss You,Joe Public,1990s,1992-07-04,55,3,167,f060bb8cfbf9898dacf180043c1a9c73db68ad03773eb70ae15ffdf9883492ad,stratified_core,rank1_length0,0.9980813264846802,0.02033899910748005,0.006788845174014568,0.014733776450157166,25.9985736804083,24.90406632423401,M-AO,181,0,0.589358292054385,lyriclens-evaluation-v1,71a40996c1021c62d12dc004cbafa3f1c5560162,d272696293bc75d5a82cca2e624800456f734f57382cd9472b5974993ef860cc,0.04410785064101219,6.008047057548538e-05,0.0036460217088460922,0.0009124481002800167,0.00394940422847867,0.00025710128829814494,0.028148280456662178,228,228,False,period toxicity midpoint,questionable,plausible,sexual content,"Physical attraction is present, but near-one LyricLens overstates what can be inferred about explicitness. Detoxify low sexual_explicit fits the narrower label.","targeted lyric context and full-text lexical audit; provisional, not exhaustive semantic annotation"
song_e12f73c01a9b74f42d83be6090427aacf2b73668f80c0ff93c72f9ce5a7a0f79,It's So Hard To Say Goodbye To Yesterday,Boyz II Men,1990s,1991-09-21,2,6,131,7e68773f828f1c770bae174f0a47b898fae1717a4f11583ba24c41707e143074,stratified_core,rank0_length0,0.003093102714046836,0.005599997937679291,0.006491331849247217,0.015253061428666115,0.7609373482409865,0.0,M-E,144,0,0.5910663749091327,lyriclens-evaluation-v1,71a40996c1021c62d12dc004cbafa3f1c5560162,d272696293bc75d5a82cca2e624800456f734f57382cd9472b5974993ef860cc,0.00039527344051748514,1.3939762766312924e-06,3.238518183934502e-05,6.185105303302407e-05,0.00010760598524939269,1.9608512957347557e-05,1.4579945855075493e-05,169,169,False,obscene minimum,plausible,plausible,low-content agreement,Loss and farewell; both models stay low.,"targeted lyric context and full-text lexical audit; provisional, not exhaustive semantic annotation"
song_fcee43b920ec51e027d82e5ebc7bf690e03815c44a91d5aaaa74f62fb232fd79,Macarena,Los Del Rio,1990s,1996-07-06,23,5,544,fd30e27cd6b03f3ecc6612c75779cb3d2557980893c704cac146fd2198390a4a,stratified_core,rank0_length2,0.31479206681251526,0.0022697385866194963,0.10630765557289124,0.041399288922548294,11.619218747364357,0.0,M-E,1027,1,0.6164872080553323,lyriclens-evaluation-v1,71a40996c1021c62d12dc004cbafa3f1c5560162,d272696293bc75d5a82cca2e624800456f734f57382cd9472b5974993ef860cc,0.07892370223999023,0.0002695636940188706,0.026726940646767616,0.0050506251864135265,0.00395535072311759,0.00037473789416253567,0.002904589520767331,1270,512,True,Spanish language diagnostic,questionable,questionable,language and sexual content,Spanish infidelity/innuendo and a long repeated lyric make an English-model comparison unreliable. Neither low output establishes absence.,prior full-lyric read-through notes plus current scores/context diagnostics
