song_id,title,artist,period,primary_genre,confidence,reason,identity_primary,review,identity_review,review_note,review_source
song_e8c3fc6c6e1f765fc422070358b4fa4e705e746857c034d5ed2a511db646b411,Two Little Kids,Peaches & Herb,1958–1969,R&B / Soul,low,"No tags are supplied; Peaches & Herb were known for 1960s soul/pop duets, but this specific recording has limited evidence, so R&B / Soul is tentative.",R&B / Soul,,,,
song_f02e6d705e7faa04e469d80e3875be41a76646cc7117a1e563c8811c46ecdd25,Everybody Go Home,Eydie Gorme,1958–1969,Pop,low,"No tags are supplied and the specific Eydie Gorme recording is uncertain; her early-1960s chart material generally fits traditional pop, but evidence is sparse.",,,,,
song_f9ddcd2f7850ac896c1cdb787d553b63fe78a5f64c8ff1f0fb8e2e7cf7641e9c,3rd Man Theme,Herb Alpert & The Tijuana Brass,1958–1969,Jazz / Blues,high,"Recording tags emphasize easy listening, jazz and latin jazz for Herb Alpert's instrumental version, making jazz the best taxonomy fit with some Latin stylistic influence.",Jazz / Blues,,,,
song_002cebf313bfd5ccfd563b8ec75fc04cee875e3417d9f4c8bca42ea377016acf,Let's Stay Together,Al Green,1970s,R&B / Soul,high,"The identifiable Al Green recording is clearly soul/R&B, and supplied recording tags heavily support soul, Memphis soul, smooth soul, funk and R&B.",,,,,
song_1f3dbe6945ae1849e0479aa13b2ac79769d21af4419b277f92c42de038a0a958,Jolene,Dolly Parton,1970s,Country,high,"The identifiable Dolly Parton recording and supplied tags strongly support country, classic country, bluegrass and country pop; scattered rock, reggae and other tags look noisy.",,,,,
song_32e956d7ab212c9ce517184027a9a0a8b2814bdb25f7a4247e9ce8d1d8d33ba2,Baby Face,The Wing And A Prayer Fife & Drum Corps.,1970s,Other,low,"No genre tags are supplied, and the identifiable 1975 hit version is a novelty/disco-styled revival by a fife-and-drum-named studio act, making a taxonomy choice uncertain.",Pop,,,,
song_3d3d6dbe6afb23cfdf8bdb56ae16f1238644091c6091cfea602a92f3ec0a978e,Stayin' Alive,Bee Gees,1970s,Electronic / Dance,high,"Recording evidence is dominated by disco and dance tags, and the identifiable Bee Gees recording is a canonical disco track with pop and blue-eyed soul crossover elements.",,,,,
song_4e595dae396b8c8d6e617d22ebdf96eefd808ddb3b2d50663c0b96ba1809faae,(I'd Know You) Anywhere,Ashford & Simpson,1970s,R&B / Soul,low,"No tags are supplied, but the identifiable Ashford & Simpson act and early-1970s Motown-associated song plausibly indicate soul; the specific recording evidence is absent, so confidence is low.",,,,,
song_66e3a32dd4604c4c4bb2490dafb9a9780fa010bf35d988f55be64637d260d37a,Viva Tirado - Part I,El Chicano,1970s,Jazz / Blues,medium,"No tags are supplied, but the identifiable El Chicano recording is best known as a Latin jazz/rock instrumental; Jazz / Blues is the closest primary with Latin crossover.",Latin,,,,
song_728925dc4a3c8dbfe9f3246dffa5d6a5f5ae65ef8637ee88e521237fad75a8da,Don't Want To Live Without It,Pablo Cruise,1970s,Rock,high,"Recording tags strongly point to soft rock, rock, and pop/rock, so Rock is better supported than generic Pop.",Rock,,,,
song_743651acd80309a38ef51ee4e42f7dc5e9cd9a4d8a66440fa563b76e7a855478,Feels So Good,Chuck Mangione,1970s,Jazz / Blues,high,"Recording tags heavily support jazz, smooth jazz, instrumental jazz, and contemporary jazz; disco/pop/Latin tags indicate crossover but not the main style.",,,,,
song_7af106e9903c0d3166b0e4713f04b5f19e9fd66ab7805f1e45bfa0eb60c7eb4c,Some Guys Have All The Luck,The Persuaders,1970s,R&B / Soul,high,"The supplied recording tag is soul, and the identifiable Persuaders version is a soul/R&B recording.",R&B / Soul,,,,
song_871c4ad5bdbc31a2492e368ff5235aa8f8aaa094a3dcb8ba0e0ac32ed4b9c53a,Rapper's Delight,Sugarhill Gang,1970s,Hip-Hop / Rap,high,"Recording tags strongly support hip hop, rap, old school hip hop, and turntablism, with disco/funk/R&B elements as crossover context.",,,,,
song_8794d1c12e8c77e7ad430a1b484aee515afa3d9ead32874c9ea8b0519ab7ae77,Don't Hide Your Love,Cher,1970s,Rock,medium,"Recording tags strongly support soft rock, rock, pop rock, folk rock, and country rock; the country tag suggests crossover, but the broad musical evidence points most to Rock.",Pop,,,,
song_893cc453fd6abdf92143801f9be8b45c9b946bc24bfba4384a35774137e70121,You Gotta Have Love In Your Heart,The Supremes & Four Tops,1970s,R&B / Soul,medium,"Recording tags include R&B and R&B/soul, matching the Motown soul context of the identifiable Supremes/Four Tops collaboration; the electronic tag is isolated and likely noisy.",R&B / Soul,,,,
song_8c901f5b3e5e4c25f7cf44180cd1bedcb3567ea88b9e7b4153fe86d1ba6fa8c8,Take Me In Your Arms (Rock Me),The Doobie Brothers,1970s,Rock,high,"Recording tags consistently indicate classic rock, rock, and soft rock, and the identifiable Doobie Brothers track is best understood as mainstream 1970s rock.",Rock,,,,
song_8e64a9fb74d090f32e2aa44850698d800e0823385a63b40d4adb48a13ff8d0c5,Steppin' Out (Gonna Boogie Tonight),Tony Orlando & Dawn,1970s,Pop,low,"No tags are supplied; based on the identifiable Tony Orlando & Dawn single, Pop is the most defensible broad category, with title-based boogie implications too weak to classify as dance.",,,,,
song_93ddae64dcbe4d5878f02e213d7587e345bcf0263c0250738609513e3bb3494a,Bohemian Rhapsody,Queen,1970s,Rock,high,"No tags are supplied, but the identifiable Queen recording is a classic rock/art rock song with operatic pop elements; Rock is the clearest broad genre.",Rock,,,,
song_b03e2ccfd2ef38b55a5a4b9d561ca174161c714d8d380d32b50b28679ab09813,What Can I Do With This Broken Heart,England Dan & John Ford Coley,1970s,Pop,high,Recording tags favor pop with soft rock and pop rock support; this identifiable England Dan & John Ford Coley track fits late-1970s soft pop/soft rock.,,,,,
song_b366f7e48c0bce91e751ed307cdec86dd404c75ec3c336c3064dde51b903042c,Hound Dog Man (Play It Again),Lenny LeBlanc,1970s,Country,low,"No tags are supplied and the song is less familiar; the Lenny LeBlanc identity and chart-era style suggest a country-leaning pop record, but uncertainty is substantial.",,,,,
song_b7ae45ffd7fb35b6bd81abbfb4fc36b04071dbe8847757321e5c8dc779360e24,I Feel Love,Donna Summer,1970s,Electronic / Dance,high,"Recording tags strongly support disco, club/dance, electronic, and synth-pop, and the identifiable Donna Summer track is a landmark electronic disco record.",,,,,
song_c89f4d6d464f96d596f24b263cc4b17d6fac7434d27ef5a6b4a726e4f9c3c4c8,You'll Never Find Another Love Like Mine,Lou Rawls,1970s,R&B / Soul,high,"Recording tags repeatedly support soul, R&B, smooth soul, quiet storm, and some disco; the identifiable song is a soul/R&B classic with dance crossover.",R&B / Soul,,,,
song_e7f27262ace9ab2f5c1d356b0e7420d2629f77521e23fb9d227c23b87bbd4a4e,Paranoid,Black Sabbath,1970s,Metal,high,"Identifiable Black Sabbath recording widely recognized as early heavy metal; no supplied tags, but learned musical knowledge is very strong.",Metal,,,,
song_f3fe9aff88df7dafc10a5d25b5f52242c7f040ae407babb74fb853b5b1121ecd,Knockin' On Heaven's Door,Bob Dylan,1970s,Folk / Singer-Songwriter,high,"Identifiable Bob Dylan song known as acoustic folk-rock singer-songwriter material; no supplied tags, so the rock crossover is from learned knowledge.",Folk / Singer-Songwriter,,,,
song_03b04ccc08b0db06679c78f70460db22fefb0af4972aba29275de1a156677aa9,Conga,Miami Sound Machine,1980s,Latin,high,"Recording tags support latin, latin pop, salsa, Cuban, dance, and pop; the identifiable song is a Latin pop/dance crossover.",,,,,
song_19f3c39248b3474abcce115c119e7a754e3b57ac8247fc1f257780efc7cfaeee,Sincerely Yours,Sweet Sensation (With Romeo J.D.),1980s,R&B / Soul,medium,"No tags are supplied, but the identifiable late-1980s Sweet Sensation/Romeo J.D. single is best understood as urban contemporary/freestyle-leaning R&B-pop; evidence is indirect.",,,,,
song_20f4a16fa209badbffe170632f6cd752c60aedf886ccbce11e7316763497b1f6,Never Gonna Give You Up,Rick Astley,1980s,Pop,high,"No tags are supplied, but this identifiable Rick Astley hit is widely known as late-1980s dance-pop/Hi-NRG-influenced pop.",Pop,,,,
song_2a3953597d688379e71b767ebc79b4af84ffca3393c4c171a0ba1d8a07cc6143,Flames Of Paradise,Jennifer Rush (Duet With Elton John),1980s,Pop,medium,"No tags are supplied, but the identifiable Jennifer Rush and Elton John duet is an adult-contemporary pop power ballad with some rock presentation.",Pop,,,,
song_37a4d0085f53ce98da3e9da4fd8efabcd01ec5858244c84d6a9a6e65d9571e36,Shame On The Moon,Bob Seger & The Silver Bullet Band,1980s,Rock,high,"Recording tags strongly support rock through classic rock, arena rock, AOR and rock and roll, with only a pop-rock crossover tag.",Rock,,,,
song_3ca88c9e8b2161349011007ad239679e4bc93295b2b1c8da6349c2b8efee676c,Got A New Love,Good Question,1980s,R&B / Soul,low,"No tags are supplied and the song is less familiar; the artist/title point plausibly to late-1980s new jack swing or R&B-pop, but the basis is sparse.",,,,,
song_6063e3caaf6f18469a7a32f76f64fd10bc58b26e3b16a50159463c8e00ed62dc,I Wanna Dance With Somebody (Who Loves Me),Whitney Houston,1980s,Pop,high,"Recording tags heavily support pop and dance-pop, with R&B, synth-pop and disco/electronic crossover also present for this identifiable Whitney Houston single.",Pop,,,,
song_63e9f093b529ca7dc0ea22959a6c2ea68205186ed2e11a507c43fd4b6f41f7cd,I Feel For You,Chaka Khan,1980s,R&B / Soul,high,"The identifiable Chaka Khan recording is an R&B/funk/dance-pop crossover; recording tags support R&B, soul, funk, disco, electronic, and pop.",,,,,
song_6f65db831f5b81a145522b7a18009f08d47f4266b495ad005a98f0b26502cbfa,Billie Jean,Michael Jackson,1980s,Pop,high,"The identifiable recording is a pop and dance-pop landmark, with supplied recording tags for pop, dance, and electronic plus artist-level R&B context.",,,,,
song_7f17c5f47f796d23f576dedac48e1949b4283368dfb3759ef2cafe4d9afc101e,Fast Car,Tracy Chapman,1980s,Folk / Singer-Songwriter,high,"The identifiable recording and supplied tags emphasize acoustic folk, contemporary folk, folk rock, and singer-songwriter, with rock and alternative crossover also present.",,,,,
song_8d9c40bf4217be87f81553c767a758b3a61eb09dda1b2339858cf9dee29bc0ad,Black Kisses Never Make You Blue,Curtie & The Boom Box,1980s,Other,low,No genre evidence is supplied and the recording is not identifiable enough from learned knowledge for a defensible taxonomy choice.,Pop,,,,
song_a7197574545e330517462fa119faa8564536ede13d65ed7f397ab96866e5d2de,Lost In Your Eyes,Debbie Gibson,1980s,Pop,high,"Identifiable Debbie Gibson ballad; supplied recording tags strongly include pop, teen pop, adult contemporary and synth-pop, with electronic tags secondary to the pop style.",Pop,,,,
song_ac8908e6477aa0b8e5a5508c55ed0629bbaaa43222d170a0e5535926bb7822cd,Only You,Commodores,1980s,R&B / Soul,medium,"Supplied recording tags point to soul, funk and disco, but the exact Commodores song identity is less genre-specific from the evidence alone.",R&B / Soul,,,,
song_b1a2b84699a4afb78d78ad97d5f9ff3ce547156effb3af5995b3438999fa9aec,Purple Rain,Prince And The Revolution,1980s,Rock,high,"Identifiable Prince and the Revolution recording is a rock power ballad with soul/funk elements; supplied tag only notes funk, so Rock is based on known song style.",,,,,
song_bdf18fbf0f81014f6199818f0ebbac82f4fdf58c0b052ae21b76f4c8fcbb9941,Help Me!,Marcy Levy & Robin Gibb,1980s,Pop,low,"No tags were supplied, and the Marcy Levy and Robin Gibb identity gives only limited basis; Pop is a tentative fit from known late-1980 pop context.",Pop,,,,
song_c3b9d3c672c8b278cfd7b9a8973ccff8efc354d2c72736f95e335d65197f9958,Glory Days,Bruce Springsteen,1980s,Rock,high,"Identifiable Bruce Springsteen track is a mainstream heartland rock song; no tags were supplied, so the choice rests on learned song knowledge.",Rock,,,,
song_eae2b284073d876fe50a3dc3452c44d09dd57c12fa59acdd7632ca003a06fd9b,Livin' On A Prayer,Bon Jovi,1980s,Rock,high,"Recording tags strongly support hard rock, glam metal, pop rock, arena rock, and rock; learned knowledge matches a mainstream rock anthem with metal-adjacent elements.",,,,,
song_f3db26fdd2abc5385af52b80b038797c179c169cb90f041d2bca07aad77c9d95,Planet Rock,Afrika Bambaataa & The Soul Sonic Force,1980s,Hip-Hop / Rap,high,"Identifiable Afrika Bambaataa track is foundational electro hip-hop; no tags were supplied, but learned musical knowledge strongly supports hip-hop with electronic dance elements.",Hip-Hop / Rap,,,,
song_f4457b8e049ddee44b2410adfdbf5bcd669b1c58db55fba1ffb6e7eb0bfa2e42,Pump Up The Jam,Technotronic Featuring Felly,1980s,Electronic / Dance,high,"Identifiable Technotronic hit is a dance/house-oriented club track; no tags were supplied, but learned knowledge clearly supports electronic dance as primary.",Electronic / Dance,,,,
song_f62b2b6113fad8aa92dfa0b6ad2a8b8f581c0ee3fd8c4781be8a3af5247212dd,Red Red Wine,UB40,1980s,Reggae / Dancehall,high,"Recording tags strongly support reggae, dub, ska, pop reggae, and reggae-pop; learned knowledge also identifies this version as pop-reggae crossover.",,,,,
song_ff30746ebc21ca46bb47e0b7741190ab7516d361cbc9bb685bf80c40a546a54c,Walk This Way,Run-D.M.C.,1980s,Hip-Hop / Rap,high,Recording tags strongly support hip hop and rap alongside rock and hard rock; learned knowledge confirms this Run-D.M.C. version as rap rock crossover.,,,,,
song_13f6c0b8f42df13364864c81688d35202a4a1dabf70eedb6fb308a7a8b02d74e,Hooked On You,Silk,1990s,R&B / Soul,medium,"Silk are identifiable with 1990s R&B slow-jam material; the only supplied recording tag is generic pop, so R&B is learned inference with limited tag support.",,,,,
song_2f6252b57051cdd28b2f54077bf6049aaafa0c5b82d349ada1bf3e33ee54bb1d,Doo Wop (That Thing),Lauryn Hill,1990s,Hip-Hop / Rap,high,"The identifiable song and recording tags strongly support hip hop and rap, with substantial R&B, neo-soul and soul evidence as genuine crossover.",,,,,
song_43c6da451ee7553971a547b68fef28c7820043e1b47620a5f78f5b760662c1cf,"Wu-Wear: The Garment Renaissance (From ""High School High"")",RZA Feat. Method Man & Cappadonna,1990s,Hip-Hop / Rap,high,"The RZA, Method Man and Cappadonna recording is identifiable Wu-Tang-associated hip hop despite no supplied genre tags.",Hip-Hop / Rap,,,,
song_584ba5cd5d954800dfd2f01f7db26ce7a454ac897414aa927cc4cb826b41ed24,Enter Sandman,Metallica,1990s,Metal,high,"Identifiable Metallica song widely known as a mainstream heavy metal/hard rock recording; no raw tags were supplied, but the musical identity is clear.",,,,,
song_65d961f1cc030daf42f3cc1a7c4d3ea9f9df66fb6d1fbf8655c5f1f2eaa7603f,My Heart Will Go On,Celine Dion,1990s,Pop,high,"Recording tags strongly support pop, adult contemporary, ballad, soundtrack, and soft rock; learned knowledge matches a pop power ballad.",,,,,
song_690e2516dfbb7b1f26340aa4b0e4d8595086ef30bde2d82331fbf4800f58682e,Call It Poison,The Escape Club,1990s,Rock,medium,"Recording tags list pop, pop rock, and rock; learned knowledge of The Escape Club fits pop rock more than pure pop, though evidence is limited.",Rock,,,,
song_783b8bd993220be24a02237ce806c65a12d5adc2277b255e26859e4fd55f1972,Come With Me,Puff Daddy Featuring Jimmy Page,1990s,Hip-Hop / Rap,high,"Identifiable Puff Daddy single is a rap-rock crossover built around a prominent rock sample and Jimmy Page feature; no supplied tags, but identity is clear.",Hip-Hop / Rap,,,,
song_82faaa9984c62ff6225122c33c400ae894810d4700e429a91c04717c1bcaae57,Backyard,Pebbles (With Salt-N-Pepa),1990s,R&B / Soul,medium,"Identifiable Pebbles single with Salt-N-Pepa is best understood as new jack swing/R&B with a rap feature; no supplied tags, so secondary support is inferred.",R&B / Soul,,,,
song_9d842cdc104a5dd044703af98874fc46df717e13ecc4ace038882875f6caede0,Achy Breaky Heart,Billy Ray Cyrus,1990s,Country,high,"Recording evidence is dominated by country, contemporary country, country pop, and country rock tags for this identifiable Billy Ray Cyrus hit.",,,,,
song_a403bb707f080ae77ea0941ac06bcedec6714954719a449ae2995739f9c388b6,Macarena (Bayside Boys Mix),Los Del Rio,1990s,Latin,high,"Identifiable Los Del Rio recording is a Spanish Latin dance-pop hit; no raw tags were supplied, but the song identity is clear.",Latin,,,,
song_b555d7adc406312bc519e83111bf9e3801029c3f84ee56adbb3ffdc03794f183,Livin' La Vida Loca,Ricky Martin,1990s,Latin,high,"Recording tags strongly support Latin and Latin pop alongside pop and dance-pop, matching the identifiable Ricky Martin crossover hit.",,,,,
song_c807c62be20f0b959818952d6bca0649101814ce7a6e58f263415057c8163c96,Justified And Ancient,The KLF Featuring Tammy Wynette,1990s,Electronic / Dance,high,Identifiable KLF single is an electronic dance/pop record with a country guest vocal element; no raw tags were supplied.,Electronic / Dance,,,,
song_d45c5f3cad8f5d95cea2286c6c39c280cedbfea85f4eab9f87fcf3d4b431c1dc,Tom's Diner,DNA Featuring Suzanne Vega,1990s,Electronic / Dance,high,"Identifiable DNA remix of Suzanne Vega's song is known as an electronic dance/house a cappella remix; no supplied tags, so this relies on learned song knowledge.",Electronic / Dance,,,,
song_d8524775ea0b49eec78378d984ac3dc3b1cbfbf577b70169d7684611d3903930,Waterfalls,TLC,1990s,R&B / Soul,high,"Recording evidence heavily supports contemporary R&B, R&B, soul and urban soul, with hip hop/pop crossover tags consistent with the song's known style.",,,,,
song_d85c143df834e14c54ba7837752803ae6c142f916f0fdb35b89f66766a0986c6,Insane In The Brain,Cypress Hill,1990s,Hip-Hop / Rap,high,"Recording tags strongly converge on hip hop, rap, gangsta rap, hardcore hip hop and West Coast hip hop; other tags are weaker crossover/noisy evidence.",Hip-Hop / Rap,,,,
song_d897fe60e5a6b1f1c1db39928c81d2646274458117144d8106de31f753f8aa3f,Sad New Day,Me Phi Me,1990s,Hip-Hop / Rap,medium,"Sparse recording tags point to hip hop and pop rap, with some pop/soul evidence; identity is less familiar, so the broad rap assignment is plausible but not certain.",Hip-Hop / Rap,,,,
song_ef3d7dc92389313e0ef01cd970d9ba25084ed7dd565ec26357543ef422095054,All Night Long,Faith Evans Featuring Puff Daddy,1990s,R&B / Soul,high,"Recording tags mainly support R&B, rnb/swing and soul, with a smaller hip hop tag matching Puff Daddy's crossover presence.",R&B / Soul,,,,
song_ef3fca564cdc83550d1ce77318acaea72dbb3b71f40af2977bd04afda03be467,"Money, Power & Respect",The Lox [Featuring DMX & Lil' Kim],1990s,Hip-Hop / Rap,high,"Identifiable 1998 single by The Lox with DMX and Lil' Kim; no tags supplied, but learned knowledge supports East Coast hip-hop/rap as the core style.",Hip-Hop / Rap,,,,
song_f413bb2f755c0d08ca66cbd330d8d0aad2f4b54c4786ea8a890fbabdd4ead78d,Smells Like Teen Spirit,Nirvana,1990s,Alternative / Indie,high,"Recording tags strongly support grunge and alternative rock, and the identifiable Nirvana song is a defining alternative rock/grunge recording.",,,,,
song_099b78c1dfaccc337d5e00aec464e33a74ed7276ddb7ebca69a957e32e274369,How You Remind Me,Nickelback,2000s,Rock,high,"Recording tags strongly support rock, post-grunge, hard rock and alternative rock; the identifiable Nickelback hit is best classified as mainstream post-grunge rock.",,,,,
song_19fb7f40ca7c53a8e83a2254a766349bf3204b9342b4a08f0205263e5f593983,Jenny From The Block,Jennifer Lopez Featuring Styles & Jadakiss,2000s,Pop,high,"Recording tags most strongly support pop, with R&B, hip-hop and dance-pop evidence; the identifiable song is a pop single with notable hip-hop/R&B crossover.",Pop,,,,
song_20dfd0d3a5e54b15c418cecbd4aae7696a5619acac71dee819de7f311d3d664f,You Give Love A Bad Name,Blake Lewis,2000s,Rock,medium,"No tags are supplied, but this identifiable Blake Lewis chart entry is his performance of the Bon Jovi rock song, likely retaining a rock basis; uncertainty remains about arrangement-specific style.",,,,,
song_4f8cd5399d370d66670eef1bbf1e0508ee1f2b42800eca1a801db80659641069,911,Wyclef Jean Featuring Mary J. Blige,2000s,Hip-Hop / Rap,medium,"No tags are supplied, but the identifiable Wyclef Jean and Mary J. Blige song is a rap/R&B crossover ballad, making hip-hop the lead with notable R&B presence.",Hip-Hop / Rap,,,,
song_5378bc839a3cfbf63f7006b65ec2bac2489545a8bef46b0e14d26a847fef9b11,We Thuggin',Fat Joe Featuring R. Kelly,2000s,Hip-Hop / Rap,high,"Recording tags directly support east coast hip hop, hip hop, and thug rap; artist-level rap tags are consistent but secondary to the recording evidence.",Hip-Hop / Rap,,,,
song_54a2930e5daaa0fb35da0d3ae5e8b42ed9245a03d1e8e69231196fa54113ff4c,In The End,Linkin Park,2000s,Rock,high,"No tags are supplied, but the identifiable Linkin Park single is well known as nu metal/rap rock, which maps best to Rock with metal and rap crossover elements.",,,,,
song_6058e3713e40bd8afc987799134073e143420ae73245243934485c0ff41fb0d2,Gold Digger,Kanye West Featuring Jamie Foxx,2000s,Hip-Hop / Rap,high,"Recording tags support hip hop, rap, and midwestern hip hop, and the identifiable Kanye West single is clearly a hip-hop track with soul/R&B sampling flavor.",Hip-Hop / Rap,,,,
song_63a8142a4d44bdc9567486fe79a2217646c9c984464703f50584b33c9af4b2ee,What's Your Fantasy,Ludacris Featuring Shawnna,2000s,Hip-Hop / Rap,high,"Recording tags strongly support hip hop, rap, dirty south, and southern hip hop, matching the identifiable Ludacris single's Southern rap style.",Hip-Hop / Rap,,,,
song_6cda31159f4d6dcdb0c80f2a8d40cfb6ae13ad3a19e5a32e88ce6b47db330dae,God In Me,"Mary Mary Featuring Kierra ""KiKi"" Sheard",2000s,Gospel / Christian,high,"Recording tags directly support gospel, contemporary gospel, Christian, and religious, with contemporary R&B evidence indicating the song's crossover sound.",Gospel / Christian,,,,
song_71147487997243ed502c93376408a146dc10fbc064a7e95f9917a826dd29a95c,I Can Only Imagine,MercyMe,2000s,Gospel / Christian,high,"Recording tags explicitly support Christian, contemporary Christian, gospel and praise & worship; folk, pop and rock are secondary stylistic elements rather than the main scene.",Gospel / Christian,,,,
song_88c7f400820aee145eea762b34117646ce5f51b0b1d4a1b7fc4728dd9c82452f,Knock Knock,Monica,2000s,R&B / Soul,high,"Recording tags support R&B with some hip-hop influence, and Monica's identifiable song fits early-2000s contemporary R&B rather than rap as the lead style.",R&B / Soul,,,,
